"Pfeiffera ianthothele","Pfeiffera","","ianthothele",NA,NA,"","","tro-5106728",TRUE,"1.1","Accepted","Cactaceae","Pfeiffera","","ianthothele","","","(Monv.) F.A.C. Weber","tro-5106728","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pfeiffera miyagawae","Pfeiffera","","miyagawae",NA,NA,"","","tro-50102042",TRUE,"1.1","Accepted","Cactaceae","Pfeiffera","","miyagawae","","","Barthlott & Rauh","tro-50102042","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pfeiffera monacantha","Pfeiffera","","monacantha",NA,NA,"","","tro-50322873",TRUE,"1.1","Synonym","Cactaceae","Rhipsalis","","monacantha","","","Griseb.","tro-5102232","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia adenophora","Phacelia","","adenophora",NA,NA,"","","tro-16200021",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","adenophora","","","J.T. Howell","tro-16200021","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia affinis","Phacelia","","affinis",NA,NA,"","","tro-16200110",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","affinis","","","A. Gray","tro-16200110","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia argentea","Phacelia","","argentea",NA,NA,"","","tro-16200395",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","argentea","","","A. Nelson & J.F. Macbr.","tro-16200395","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia arizonica","Phacelia","","arizonica",NA,NA,"","","tro-16200004",TRUE,"1.1","Synonym","Boraginaceae","Phacelia","","popei","var.","arizonica","(A. Gray) J.W. Voss","tro-50107091","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia bicolor","Phacelia","","bicolor",NA,NA,"","","tro-16200120",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","bicolor","","","Torr. ex S. Watson","tro-16200120","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia bolanderi","Phacelia","","bolanderi",NA,NA,"","","tro-16200122",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","bolanderi","","","A. Gray","tro-16200122","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia bombycina","Phacelia","","bombycina",NA,NA,"","","kew-2530072",TRUE,"1.1","Unresolved","Boraginaceae","Phacelia","","bombycina","","","Wooton & Standl.","kew-2530072","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Phacelia brachyloba","Phacelia","","brachyloba",NA,NA,"","","tro-16200123",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","brachyloba","","","(Benth.) A. Gray","tro-16200123","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia breweri","Phacelia","","breweri",NA,NA,"","","tro-16200124",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","breweri","","","A. Gray","tro-16200124","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia californica","Phacelia","","californica",NA,NA,"","","tro-16200125",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","californica","","","Cham.","tro-16200125","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia calthifolia","Phacelia","","calthifolia",NA,NA,"","","tro-16200126",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","calthifolia","","","Brand","tro-16200126","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia campanularia","Phacelia","","campanularia",NA,NA,"","","tro-16200127",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","campanularia","","","A. Gray","tro-16200127","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia capitata","Phacelia","","capitata",NA,NA,"","","kew-2530068",TRUE,"1.1","Unresolved","Boraginaceae","Phacelia","","capitata","","","Kruckeb.","kew-2530068","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Phacelia cephalotes","Phacelia","","cephalotes",NA,NA,"","","tro-16200022",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","cephalotes","","","A. Gray","tro-16200022","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia cicutaria","Phacelia","","cicutaria",NA,NA,"","","tro-16200381",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","cicutaria","","","Greene","tro-16200381","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia coerulea","Phacelia","","coerulea",NA,NA,"","","tro-16200324",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","coerulea","","","Greene","tro-16200324","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia congesta","Phacelia","","congesta",NA,NA,"","","tro-16200538",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","congesta","","","Hook.","tro-16200538","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia cookei","Phacelia","","cookei",NA,NA,"","","tro-16200583",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","cookei","","","Constance & Heckard","tro-16200583","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia corrugata","Phacelia","","corrugata",NA,NA,"","","tro-50107404",TRUE,"1.1","Synonym","Boraginaceae","Phacelia","","crenulata","var.","corrugata","(A. Nelson) Brand","tro-50110013","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia cottamii","Phacelia","","cottamii",NA,NA,"","","kew-2541041",TRUE,"1.1","Unresolved","Boraginaceae","Phacelia","","cottamii","","","N.D.Atwood","kew-2541041","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Phacelia crenulata","Phacelia","","crenulata",NA,NA,"","","tro-16200389",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","crenulata","","","Torr. ex S. Watson","tro-16200389","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia cryptantha","Phacelia","","cryptantha",NA,NA,"","","tro-16200385",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","cryptantha","","","Greene","tro-16200385","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia cumingii","Phacelia","","cumingii",NA,NA,"","","tro-16200347",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","cumingii","","","(Benth.) A. Gray","tro-16200347","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia curvipes","Phacelia","","curvipes",NA,NA,"","","tro-16200407",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","curvipes","","","Torr. ex S. Watson","tro-16200407","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia davidsonii","Phacelia","","davidsonii",NA,NA,"","","tro-16200129",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","davidsonii","","","A. Gray","tro-16200129","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia demissa","Phacelia","","demissa",NA,NA,"","","tro-16200130",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","demissa","","","A. Gray","tro-16200130","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia distans","Phacelia","","distans",NA,NA,"","","tro-16200133",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","distans","","","Benth.","tro-16200133","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia divaricata","Phacelia","","divaricata",NA,NA,"","","tro-16200134",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","divaricata","","","(Benth.) A. Gray","tro-16200134","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia douglasii","Phacelia","","douglasii",NA,NA,"","","tro-16200135",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","douglasii","","","(Benth.) Torr.","tro-16200135","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia dubia","Phacelia","","dubia",NA,NA,"","","tro-16200023",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","dubia","","","(L.) Trel. & Small","tro-16200023","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia egena","Phacelia","","egena",NA,NA,"","","tro-16200137",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","egena","","","(Brand) Greene ex J.T. Howell","tro-16200137","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia eisenii","Phacelia","","eisenii",NA,NA,"","","tro-16200138",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","eisenii","","","Brandegee","tro-16200138","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia formosula","Phacelia","","formosula",NA,NA,"","","tro-16200142",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","formosula","","","Osterh.","tro-16200142","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia franklinii","Phacelia","","franklinii",NA,NA,"","","tro-16200006",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","franklinii","","","(R. Br.) A. Gray","tro-16200006","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia fremontii","Phacelia","","fremontii",NA,NA,"","","tro-16200143",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","fremontii","","","Torr.","tro-16200143","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia glaberrima","Phacelia","","glaberrima",NA,NA,"","","tro-16200148",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","glaberrima","","","(Torr. ex S. Watson) J.T. Howell","tro-16200148","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia glandulifera","Phacelia","","glandulifera",NA,NA,"","","tro-16200150",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","glandulifera","","","Piper","tro-16200150","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia glandulosa","Phacelia","","glandulosa",NA,NA,"","","tro-16200151",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","glandulosa","","","Nutt.","tro-16200151","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia glechomifolia","Phacelia","","glechomifolia",NA,NA,"","","tro-16200152",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","glechomifolia","","","A. Gray","tro-16200152","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia grandiflora","Phacelia","","grandiflora",NA,NA,"","","tro-16200153",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","grandiflora","","","(Benth.) A. Gray","tro-16200153","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia greenei","Phacelia","","greenei",NA,NA,"","","tro-16200154",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","greenei","","","J.T. Howell","tro-16200154","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia grisea","Phacelia","","grisea",NA,NA,"","","tro-16200155",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","grisea","","","A. Gray","tro-16200155","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia gymnoclada","Phacelia","","gymnoclada",NA,NA,"","","tro-16200156",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","gymnoclada","","","Torr. ex S. Watson","tro-16200156","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia gypsogenia","Phacelia","","gypsogenia",NA,NA,"","","tro-50289859",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","gypsogenia","","","I.M. Johnst.","tro-50289859","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia hastata","Phacelia","","hastata",NA,NA,"","","tro-16200158",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","hastata","","","Douglas ex Lehm.","tro-16200158","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia heterophylla","Phacelia","","heterophylla",NA,NA,"","","tro-16200160",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","heterophylla","","","Pursh","tro-16200160","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia hirsuta","Phacelia","","hirsuta",NA,NA,"","","tro-16200162",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","hirsuta","","","Nutt.","tro-16200162","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phacelia howelliana","Phacelia","","howelliana",NA,NA,"","","tro-16200163",TRUE,"1.1","Accepted","Boraginaceae","Phacelia","","howelliana","","","N.D. Atwood","tro-16200163","Accepted",FALSE,FALSE,FALSE,2017-05-11
