"Phlegmatospermum eremaeum","Phlegmatospermum","","eremaeum",NA,NA,"","","tro-50004388",TRUE,"1.1","Accepted","Brassicaceae","Phlegmatospermum","","eremaeum","","","E.Shaw","tro-50004388","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phleum alpinum","Phleum","","alpinum",NA,NA,"","","kew-433718",TRUE,"1.1","Accepted","Poaceae","Phleum","","alpinum","","","L.","kew-433718","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phleum arenarium","Phleum","","arenarium",NA,NA,"","","kew-433735",TRUE,"1.1","Accepted","Poaceae","Phleum","","arenarium","","","L.","kew-433735","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phleum phleoides","Phleum","","phleoides",NA,NA,"","","kew-433840",TRUE,"1.1","Accepted","Poaceae","Phleum","","phleoides","","","(L.) H.Karst.","kew-433840","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phleum pratense","Phleum","","pratense",NA,NA,"","","kew-433846",TRUE,"1.1","Accepted","Poaceae","Phleum","","pratense","","","L.","kew-433846","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phloeophila nummularia","Phloeophila","","nummularia",NA,NA,"","","kew-152086",TRUE,"1.1","Accepted","Orchidaceae","Phloeophila","","nummularia","","","(Rchb.f.) Garay","kew-152086","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phloeophila pelecaniceps","Phloeophila","","pelecaniceps",NA,NA,"","","kew-257797",TRUE,"1.1","Accepted","Orchidaceae","Phloeophila","","pelecaniceps","","","(Luer) Pridgeon & M.W.Chase","kew-257797","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phloeophila peperomioides","Phloeophila","","peperomioides",NA,NA,"","","kew-152088",TRUE,"1.1","Accepted","Orchidaceae","Phloeophila","","peperomioides","","","(Ames) Garay","kew-152088","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phloeophila pleurothallopsis","Phloeophila","","pleurothallopsis",NA,NA,"","","kew-257798",TRUE,"1.1","Accepted","Orchidaceae","Phloeophila","","pleurothallopsis","","","(Kraenzl.) Pridgeon & M.W.Chase","kew-257798","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phloeophila yupanki","Phloeophila","","yupanki",NA,NA,"","","kew-257799",TRUE,"1.1","Accepted","Orchidaceae","Phloeophila","","yupanki","","","(Luer & R.Vásquez) Pridgeon & M.W.Chase","kew-257799","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlogacanthus curviflorus","Phlogacanthus","","curviflorus",NA,NA,"","","tro-50058323",TRUE,"1.1","Accepted","Acanthaceae","Phlogacanthus","","curviflorus","","","(Wall.) Nees","tro-50058323","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlojodicarpus popovii","Phlojodicarpus","","popovii",NA,NA,"","","tro-1703032",TRUE,"1.1","Accepted","Apiaceae","Phlojodicarpus","","popovii","","","Sipliv.","tro-1703032","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlojodicarpus villosus","Phlojodicarpus","","villosus",NA,NA,"","","tro-1700192",TRUE,"1.1","Accepted","Apiaceae","Phlojodicarpus","","villosus","","","(Turcz. ex Fisch. & C.A. Mey.) Turcz. ex Ledeb.","tro-1700192","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomidoschema parviflorum","Phlomidoschema","","parviflorum",NA,NA,"","","kew-152105",TRUE,"1.1","Accepted","Lamiaceae","Phlomidoschema","","parviflorum","","","(Benth.) Vved.","kew-152105","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis alpina","Phlomis","","alpina",NA,NA,"","","kew-152117",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","alpina","","","(Pall.) Adylov, Kamelin & Makhm.","kew-152502","Accepted",FALSE,FALSE,FALSE,2017-05-11
