"Physalis melanocystis","Physalis","","melanocystis",NA,NA,"","","kew-2549442",TRUE,"1.1","Accepted","Solanaceae","Physalis","","melanocystis","","","(B.L.Rob.) Bitter","kew-2549442","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis mendocina","Physalis","","mendocina",NA,NA,"","","tro-29601021",TRUE,"1.1","Synonym","Solanaceae","Physalis","","viscosa","","","L.","tro-29601035","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis mexicana","Physalis","","mexicana",NA,NA,"","","kew-2549444",TRUE,"1.1","Unresolved","Solanaceae","Physalis","","mexicana","","","Molina ex Colla","kew-2549444","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Physalis microcarpa","Physalis","","microcarpa",NA,NA,"","","kew-2549447",TRUE,"1.1","Accepted","Solanaceae","Physalis","","microcarpa","","","Urb. & Ekman","kew-2549447","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis microphysa","Physalis","","microphysa",NA,NA,"","","tro-29607121",TRUE,"1.1","Accepted","Solanaceae","Physalis","","microphysa","","","A. Gray","tro-29607121","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis minima","Physalis","","minima",NA,NA,"","","kew-2549450",TRUE,"1.1","Accepted","Solanaceae","Physalis","","minima","","","L.","kew-2549450","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis minimaculata","Physalis","","minimaculata",NA,NA,"","","tro-29608472",TRUE,"1.1","Accepted","Solanaceae","Physalis","","minimaculata","","","Waterf.","tro-29608472","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis mollis","Physalis","","mollis",NA,NA,"","","tro-29604046",TRUE,"1.1","Accepted","Solanaceae","Physalis","","mollis","","","Nutt.","tro-29604046","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis nicandroides","Physalis","","nicandroides",NA,NA,"","","kew-2549629",TRUE,"1.1","Accepted","Solanaceae","Physalis","","nicandroides","","","Schltdl.","kew-2549629","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis patula","Physalis","","patula",NA,NA,"","","tro-29605001",TRUE,"1.1","Accepted","Solanaceae","Physalis","","patula","","","Mill.","tro-29605001","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis peruviana","Physalis","","peruviana",NA,NA,"","","kew-2549655",TRUE,"1.1","Accepted","Solanaceae","Physalis","","peruviana","","","L.","kew-2549655","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis philadelphica","Physalis","","philadelphica",NA,NA,"","","kew-2549657",TRUE,"1.1","Accepted","Solanaceae","Physalis","","philadelphica","","","Lam.","kew-2549657","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Physalis pruinosa","Physalis","","pruinosa",NA,NA,"","","kew-2549665",TRUE,"1.1","Accepted","Solanaceae","Physalis","","pruinosa","","","L.","kew-2549665","Accepted",FALSE,FALSE,FALSE,2017-05-11
