"Pinguicula ramosa","Pinguicula","","ramosa",NA,NA,"","","kew-2537572",TRUE,"1.1","Unresolved","Lentibulariaceae","Pinguicula","","ramosa","","","Miyoshi ex Yatabe","kew-2537572","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pinguicula rectifolia","Pinguicula","","rectifolia",NA,NA,"","","tro-50173449",TRUE,"1.1","Synonym","Lentibulariaceae","Pinguicula","","moranensis","","","Kunth","kew-2537549","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pinguicula reichenbachiana","Pinguicula","","reichenbachiana",NA,NA,"","","kew-2537569",TRUE,"1.1","Synonym","Lentibulariaceae","Pinguicula","","longifolia","subsp.","reichenbachiana","(Schindl.) Casper","kew-2900963","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pinguicula reticulata","Pinguicula","","reticulata",NA,NA,"","","kew-2537568",TRUE,"1.1","Unresolved","Lentibulariaceae","Pinguicula","","reticulata","","","Schlauer","kew-2537568","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pinguicula rotundiflora","Pinguicula","","rotundiflora",NA,NA,"","","tro-50173435",TRUE,"1.1","Accepted","Lentibulariaceae","Pinguicula","","rotundiflora","","","Studnička","tro-50173435","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pinguicula sehuensis","Pinguicula","","sehuensis",NA,NA,"","","",FALSE,"1.1","","","Pinguicula","","sehuensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pinguicula sharpii","Pinguicula","","sharpii",NA,NA,"","","tro-18300011",TRUE,"1.1","Accepted","Lentibulariaceae","Pinguicula","","sharpii","","","Casper & K. Kondo","tro-18300011","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pinguicula vallis","Pinguicula","","vallis",NA,NA,"","","",FALSE,"1.1","","","Pinguicula","","vallis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pinguicula vallisneriifolia","Pinguicula","","vallisneriifolia",NA,NA,"","","kew-2537416",TRUE,"1.1","Accepted","Lentibulariaceae","Pinguicula","","vallisneriifolia","","","Webb","kew-2537416","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pinguicula variegata","Pinguicula","","variegata",NA,NA,"","","kew-2537403",TRUE,"1.1","Unresolved","Lentibulariaceae","Pinguicula","","variegata","","","Arv.-Touv.","kew-2537403","Unresolved",FALSE,FALSE,FALSE,2017-05-11
