"Plagiochila fuscolutea","Plagiochila","","fuscolutea",NA,NA,"","","tro-35203985",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","fuscolutea","","","Taylor","tro-35203985","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila fusifera","Plagiochila","","fusifera",NA,NA,"","","tro-35200915",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","fusifera","","","Taylor","tro-35200915","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila gigantea","Plagiochila","","gigantea",NA,NA,"","","tro-35213682",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","gigantea","","","Lindenb.","tro-35213682","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila grandicrista","Plagiochila","","grandicrista",NA,NA,"","","tro-35214294",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","grandicrista","","","Stephani","tro-35214294","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila gregaria","Plagiochila","","gregaria",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","gregaria",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila gymnocalycina","Plagiochila","","gymnocalycina",NA,NA,"","","tro-35187572",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","gymnocalycina","","","Lindenb.","tro-35187572","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila gymnoclada","Plagiochila","","gymnoclada",NA,NA,"","","tro-35207573",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","gymnoclada","","","Sande Lac.","tro-35207573","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila hakkodensis","Plagiochila","","hakkodensis",NA,NA,"","","tro-35205809",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","hakkodensis","","","Stephani","tro-35205809","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila hampeana","Plagiochila","","hampeana",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","hampeana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila hartziana","Plagiochila","","hartziana",NA,NA,"","","tro-35212410",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","hartziana","","","Pearson","tro-35212410","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila heterodonta","Plagiochila","","heterodonta",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","heterodonta",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila heterophylla","Plagiochila","","heterophylla",NA,NA,"","","tro-35211679",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","heterophylla","","","Lindenb. ex Lehm.","tro-35211679","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila heterospina","Plagiochila","","heterospina",NA,NA,"","","tro-35201410",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","heterostipa","","","Stephani","tro-35201410","Unresolved",TRUE,FALSE,FALSE,2017-05-11
"Plagiochila heterostipa","Plagiochila","","heterostipa",NA,NA,"","","tro-35201410",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","heterostipa","","","Stephani","tro-35201410","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila hirta","Plagiochila","","hirta",NA,NA,"","","tro-35208345",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","hirta","","","Taylor","tro-35208345","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila hookeriana","Plagiochila","","hookeriana",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","hookeriana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila incerta","Plagiochila","","incerta",NA,NA,"","","tro-35215743",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","incerta","","","Gottsche","tro-35215743","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila integerrima","Plagiochila","","integerrima",NA,NA,"","","tro-35215746",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","integerrima","","","Stephani","tro-35215746","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila integrifolia","Plagiochila","","integrifolia",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","integrifolia",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila javanica","Plagiochila","","javanica",NA,NA,"","","tro-35190037",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","japonica","","","Sande Lac.","tro-35190037","Unresolved",TRUE,FALSE,FALSE,2017-05-11
"Plagiochila junghuniana","Plagiochila","","junghuniana",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","junghuniana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila kiaeri","Plagiochila","","kiaeri",NA,NA,"","","tro-35215753",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","kiaeri","","","Gottsche","tro-35215753","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila korthalsiana","Plagiochila","","korthalsiana",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","korthalsiana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila laetevirens","Plagiochila","","laetevirens",NA,NA,"","","tro-35187554",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","laetevirens","","","Lindenb.","tro-35187554","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila lastii","Plagiochila","","lastii",NA,NA,"","","tro-35201520",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","lastii","","","Mitt.","tro-35201520","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila latifrons","Plagiochila","","latifrons",NA,NA,"","","tro-35208346",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","latifrons","","","Gottsche & Hampe","tro-35208346","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila longiramea","Plagiochila","","longiramea",NA,NA,"","","tro-35204485",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","longiramea","","","Steph.","tro-35204485","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila longispina","Plagiochila","","longispina",NA,NA,"","","tro-35187555",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","longispina","","","Lindenb. & Gottsche","tro-35187555","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila loriloba","Plagiochila","","loriloba",NA,NA,"","","tro-35212555",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","loriloba","","","Herzog ex Carl","tro-35212555","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila lunata","Plagiochila","","lunata",NA,NA,"","","tro-35201589",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","lunata","","","S.W. Arnell","tro-35201589","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila lyallii","Plagiochila","","lyallii",NA,NA,"","","tro-35213440",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","lyallii","","","Mitt.","tro-35213440","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila macrostachya","Plagiochila","","macrostachya",NA,NA,"","","tro-35214266",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","macrostachya","","","Lindenb.","tro-35214266","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila maderensis","Plagiochila","","maderensis",NA,NA,"","","tro-35215756",TRUE,"1.1","Synonym","Plagiochilaceae","Plagiochila","","kiaeri","","","Gottsche","tro-35215753","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Plagiochila magna","Plagiochila","","magna",NA,NA,"","","tro-35206956",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","magna","","","Inoue","tro-35206956","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila massalongoana","Plagiochila","","massalongoana",NA,NA,"","","tro-35209343",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","massalongoana","","","Schiffner","tro-35209343","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila metcalfii","Plagiochila","","metcalfii",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","metcalfii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila minutula","Plagiochila","","minutula",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","minutula",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila montagnei","Plagiochila","","montagnei",NA,NA,"","","tro-35212892",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","montagnei","","","Nees","tro-35212892","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila nobilis","Plagiochila","","nobilis",NA,NA,"","","tro-35213641",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","nobilis","","","Gottsche","tro-35213641","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila obcuneata","Plagiochila","","obcuneata",NA,NA,"","","tro-35213659",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","obcuneata","","","Stephani","tro-35213659","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila obovata","Plagiochila","","obovata",NA,NA,"","","tro-35208348",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","obovata","","","Stephani","tro-35208348","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila obtusa","Plagiochila","","obtusa",NA,NA,"","","tro-35209054",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","retusa","","","Mitt.","tro-35209054","Unresolved",TRUE,FALSE,FALSE,2017-05-11
"Plagiochila orbicularis","Plagiochila","","orbicularis",NA,NA,"","","tro-35205977",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","orbicularis","","","(S. Hatt.) S. Hatt.","tro-35205977","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila oresitropha","Plagiochila","","oresitropha",NA,NA,"","","tro-35191244",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","oresitropha","","","Spruce","tro-35191244","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila ovalifolia","Plagiochila","","ovalifolia",NA,NA,"","","tro-35201180",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","ovalifolia","","","Mitt.","tro-35201180","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila ovata","Plagiochila","","ovata",NA,NA,"","","tro-35204487",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","ovata","","","Lindenb.","tro-35204487","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila pachyloma","Plagiochila","","pachyloma",NA,NA,"","","tro-35191529",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","pachyloma","","","Taylor","tro-35191529","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila pacifica","Plagiochila","","pacifica",NA,NA,"","","tro-35207731",TRUE,"1.1","Unresolved","Plagiochilaceae","Plagiochila","","pacifica","","","Mitt.","tro-35207731","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila parvifolia","Plagiochila","","parvifolia",NA,NA,"","","tro-35209346",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","parvifolia","","","Lindenb.","tro-35209346","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila patentissima","Plagiochila","","patentissima",NA,NA,"","","tro-35206272",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","patentissima","","","Stephani","tro-35206272","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila patriciae","Plagiochila","","patriciae",NA,NA,"","","tro-35211631",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","patriciae","","","J. Heinrichs & H. Anton","tro-35211631","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila patula","Plagiochila","","patula",NA,NA,"","","tro-35187567",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","patula","","","(Sw.) Lindenb.","tro-35187567","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila patzschkei","Plagiochila","","patzschkei",NA,NA,"","","tro-35206273",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","patzschkei","","","Steph.","tro-35206273","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila pectinata","Plagiochila","","pectinata",NA,NA,"","","tro-35207546",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","pectinata","","","Willd. ex Lindenb.","tro-35207546","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila peculiaris","Plagiochila","","peculiaris",NA,NA,"","","tro-35207533",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","peculiaris","","","Schiffner","tro-35207533","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila pleurata","Plagiochila","","pleurata",NA,NA,"","","tro-35212004",TRUE,"1.1","Synonym","Plagiochilaceae","Proskauera","","pleurata","","","(Hook. f. & Taylor) J. Heinrichs & J.J. Engel","tro-35216865","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila poeltii","Plagiochila","","poeltii",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","poeltii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila porelloides","Plagiochila","","porelloides",NA,NA,"","","tro-35185753",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","porelloides","","","(Torr. ex Nees) Lindenb.","tro-35185753","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila propinqua","Plagiochila","","propinqua",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","propinqua",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila pulcherrima","Plagiochila","","pulcherrima",NA,NA,"","","tro-35205633",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","pulcherrima","","","Horik.","tro-35205633","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila punctata","Plagiochila","","punctata",NA,NA,"","","tro-35207521",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","punctata","","","(Taylor) Taylor","tro-35207521","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila queenslandica","Plagiochila","","queenslandica",NA,NA,"","","",FALSE,"1.1","","","Plagiochila","","queenslandica",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila raddiana","Plagiochila","","raddiana",NA,NA,"","","tro-35187568",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","raddiana","","","Lindenb.","tro-35187568","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila ramosissima","Plagiochila","","ramosissima",NA,NA,"","","tro-35213547",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","ramosissima","","","(Hook.) Lindenb.","tro-35213547","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila renitens","Plagiochila","","renitens",NA,NA,"","","tro-35213653",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","renitens","","","(Nees) Lindenb.","tro-35213653","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plagiochila repanda","Plagiochila","","repanda",NA,NA,"","","tro-35202345",TRUE,"1.1","Accepted","Plagiochilaceae","Plagiochila","","repanda","","","(Schwägr.) Dumort.","tro-35202345","Accepted",FALSE,FALSE,FALSE,2017-05-11
