"Pleonotoma stichadenia","Pleonotoma","","stichadenia",NA,NA,"","","kew-317852",TRUE,"1.1","Accepted","Bignoniaceae","Pleonotoma","","stichadenia","","","K.Schum.","kew-317852","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleonotoma variabilis","Pleonotoma","","variabilis",NA,NA,"","","kew-317846",TRUE,"1.1","Accepted","Bignoniaceae","Pleonotoma","","variabilis","","","(Jacq.) Miers","kew-317846","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis angusta","Pleopeltis","","angusta",NA,NA,"","","tro-26607337",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","angusta","","","Humb. & Bonpl. ex Willd.","tro-26607337","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis appressa","Pleopeltis","","appressa",NA,NA,"","","tro-50283985",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","appressa","","","M. Kessler & A.R. Sm.","tro-50283985","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis astrolepis","Pleopeltis","","astrolepis",NA,NA,"","","tro-26604229",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","astrolepis","","","(Liebm.) E. Fourn.","tro-26604229","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis ballivianii","Pleopeltis","","ballivianii",NA,NA,"","","tro-50290787",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","ballivianii","","","(Rosenst.) A.R. Sm.","tro-50290787","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis bombycina","Pleopeltis","","bombycina",NA,NA,"","","tro-50291187",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","bombycina","","","(Maxon) A.R. Sm.","tro-50291187","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis buchtienii","Pleopeltis","","buchtienii",NA,NA,"","","tro-50291188",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","buchtienii","","","(Christ & Rosenst.) A.R. Sm.","tro-50291188","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis complanata","Pleopeltis","","complanata",NA,NA,"","","tro-50057940",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","complanata","","","(Weath.) E.G.A. Hooper","tro-50057940","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis conzattii","Pleopeltis","","conzattii",NA,NA,"","","tro-26624673",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","conzattii","","","(Weath.) R.M. Tryon & A.F. Tryon","tro-26624673","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis crassinervata","Pleopeltis","","crassinervata",NA,NA,"","","tro-26607338",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","crassinervata","","","(Fée) T. Moore","tro-26607338","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis fraseri","Pleopeltis","","fraseri",NA,NA,"","","tro-50257057",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","fraseri","","","(Mett. ex Kuhn) A.R. Sm.","tro-50257057","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis fructuosa","Pleopeltis","","fructuosa",NA,NA,"","","tro-26611073",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","fructuosa","","","(Maxon & Weath.) Lellinger","tro-26611073","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis macrocarpa","Pleopeltis","","macrocarpa",NA,NA,"","","tro-26601748",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","macrocarpa","","","(Bory ex Willd.) Kaulf.","tro-26601748","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis mexicana","Pleopeltis","","mexicana",NA,NA,"","","tro-26609890",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","mexicana","","","(Fée) Mickel & Beitel","tro-26609890","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis munchii","Pleopeltis","","munchii",NA,NA,"","","tro-26607344",TRUE,"1.1","Synonym","Polypodiaceae","Polypodium","","munchii","","","Christ","tro-26601950","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis polylepis","Pleopeltis","","polylepis",NA,NA,"","","tro-26608129",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","polylepis","","","(Roem. ex Kunze) T. Moore","tro-26608129","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis polypodioides","Pleopeltis","","polypodioides",NA,NA,"","","tro-26615205",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","polypodioides","","","(L.) E.G. Andrews & Windham","tro-26615205","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis remota","Pleopeltis","","remota",NA,NA,"","","tro-50291192",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","remota","","","(Desv.) A.R. Sm.","tro-50291192","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis thyssanolepis","Pleopeltis","","thyssanolepis",NA,NA,"","","tro-26617598",TRUE,"1.1","Synonym","Polypodiaceae","Polypodium","","thyssanolepis","","","A. Braun ex Klotzsch","tro-26602419","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleopeltis tweediana","Pleopeltis","","tweediana",NA,NA,"","","tro-50291201",TRUE,"1.1","Accepted","Polypodiaceae","Pleopeltis","","tweediana","","","(Hook.) A.R. Sm.","tro-50291201","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plerandra costata","Plerandra","","costata",NA,NA,"","","tro-100364308",TRUE,"1.1","Synonym","Araliaceae","Schefflera","","costata","","","A.C.Sm.","kew-187146","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plerandra elegantissima","Plerandra","","elegantissima",NA,NA,"","","tro-100357110",TRUE,"1.1","Synonym","Araliaceae","Schefflera","","elegantissima","","","(Veitch ex Mast.) Lowry & Frodin","kew-187197","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plerandra gabriellae","Plerandra","","gabriellae",NA,NA,"","","tro-100364327",TRUE,"1.1","Synonym","Araliaceae","Schefflera","","gabriellae","","","Baill.","kew-187237","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plerandra pickeringii","Plerandra","","pickeringii",NA,NA,"","","kew-159161",TRUE,"1.1","Synonym","Araliaceae","Schefflera","","pickeringii","","","(A.Gray) Frodin","kew-187532","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Plerandra reginae","Plerandra","","reginae",NA,NA,"","","tro-100357121",TRUE,"1.1","Synonym","Araliaceae","Schefflera","","reginae","","","(Linden ex W.Richards) Frodin","kew-187576","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleroma penduliflora","Pleroma","","penduliflora",NA,NA,"","","",FALSE,"1.1","","","Pleroma","","penduliflora",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Plesioneuron archboldiae","Plesioneuron","","archboldiae",NA,NA,"","","ifn-51045",TRUE,"1.1","Unresolved","Thelypteridaceae","Plesioneuron","","archboldiae","","","Holttum","ifn-51045","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plethiandra cuneata","Plethiandra","","cuneata",NA,NA,"","","ifn-79484",TRUE,"1.1","Unresolved","Melastomataceae","Plethiandra","","cuneata","","","Stapf","ifn-79484","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plethiandra hookeri","Plethiandra","","hookeri",NA,NA,"","","ifn-79485",TRUE,"1.1","Unresolved","Melastomataceae","Plethiandra","","hookeri","","","Stapf","ifn-79485","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Plettkea cryptantha","Plettkea","","cryptantha",NA,NA,"","","tro-6301147",TRUE,"1.1","Accepted","Caryophyllaceae","Plettkea","","cryptantha","","","Mattf.","tro-6301147","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuranthodendron lindenii","Pleuranthodendron","","lindenii",NA,NA,"","","tro-13200519",TRUE,"1.1","Accepted","Salicaceae","Pleuranthodendron","","lindenii","","","(Turcz.) Sleumer","tro-13200519","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuranthodes hillebrandtii","Pleuranthodes","","hillebrandtii",NA,NA,"","","kew-2544705",TRUE,"1.1","Unresolved","Rhamnaceae","Pleuranthodes","","hillebrandtii","","","Weberb.","kew-2544705","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pleuranthodium floccosum","Pleuranthodium","","floccosum",NA,NA,"","","kew-259143",TRUE,"1.1","Accepted","Zingiberaceae","Pleuranthodium","","floccosum","","","(Valeton) R.M.Sm.","kew-259143","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuranthodium floribundum","Pleuranthodium","","floribundum",NA,NA,"","","kew-259144",TRUE,"1.1","Accepted","Zingiberaceae","Pleuranthodium","","floribundum","","","(K.Schum.) R.M.Sm.","kew-259144","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuranthodium hellwigii","Pleuranthodium","","hellwigii",NA,NA,"","","kew-259146",TRUE,"1.1","Accepted","Zingiberaceae","Pleuranthodium","","hellwigii","","","(K.Schum.) R.M.Sm.","kew-259146","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuranthodium papilionaceum","Pleuranthodium","","papilionaceum",NA,NA,"","","kew-259150",TRUE,"1.1","Accepted","Zingiberaceae","Pleuranthodium","","papilionaceum","","","(K.Schum.) R.M.Sm.","kew-259150","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuranthodium schlechteri","Pleuranthodium","","schlechteri",NA,NA,"","","kew-259159",TRUE,"1.1","Accepted","Zingiberaceae","Pleuranthodium","","schlechteri","","","(K.Schum.) R.M.Sm.","kew-259159","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuranthodium trichocalyx","Pleuranthodium","","trichocalyx",NA,NA,"","","kew-259162",TRUE,"1.1","Accepted","Zingiberaceae","Pleuranthodium","","trichocalyx","","","(Valeton) R.M.Sm.","kew-259162","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuricospora fimbriolata","Pleuricospora","","fimbriolata",NA,NA,"","","kew-2547543",TRUE,"1.1","Accepted","Ericaceae","Pleuricospora","","fimbriolata","","","A.Gray","kew-2547543","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuridium acuminatum","Pleuridium","","acuminatum",NA,NA,"","","tro-35124675",TRUE,"1.1","Accepted","Ditrichaceae","Pleuridium","","acuminatum","","","Lindb.","tro-35124675","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuridium subulatum","Pleuridium","","subulatum",NA,NA,"","","tro-35124739",TRUE,"1.1","Accepted","Ditrichaceae","Pleuridium","","subulatum","","","(Hedw.) Rabenh.","tro-35124739","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurisanthes flava","Pleurisanthes","","flava",NA,NA,"","","tro-16400070",TRUE,"1.1","Accepted","Icacinaceae","Pleurisanthes","","flava","","","Sandwith","tro-16400070","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurocarpaea denticulata","Pleurocarpaea","","denticulata",NA,NA,"","","gcc-49514",TRUE,"1.1","Accepted","Compositae","Pleurocarpaea","","denticulata","","","Benth.","gcc-49514","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurochaete luteola","Pleurochaete","","luteola",NA,NA,"","","tro-35124755",TRUE,"1.1","Accepted","Pottiaceae","Pleurochaete","","luteola","","","(Besch.) Thér.","tro-35124755","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurochaete squarrosa","Pleurochaete","","squarrosa",NA,NA,"","","tro-35124758",TRUE,"1.1","Accepted","Pottiaceae","Pleurochaete","","squarrosa","","","(Brid.) Lindb.","tro-35124758","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurocladopsis simulans","Pleurocladopsis","","simulans",NA,NA,"","","tro-35208197",TRUE,"1.1","Accepted","Schistochilaceae","Pleurocladopsis","","simulans","","","(C. Massal.) R.M. Schust.","tro-35208197","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurocladula albescens","Pleurocladula","","albescens",NA,NA,"","","tro-35208488",TRUE,"1.1","Accepted","Cephaloziaceae","Pleurocladula","","albescens","","","(Hook.) Grolle","tro-35208488","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurocoronis pluriseta","Pleurocoronis","","pluriseta",NA,NA,"","","gcc-51827",TRUE,"1.1","Accepted","Compositae","Pleurocoronis","","pluriseta","","","(A.Gray) R.M.King & H.Rob.","gcc-51827","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuropappus phyllocalymmeus","Pleuropappus","","phyllocalymmeus",NA,NA,"","","gcc-75500",TRUE,"1.1","Accepted","Compositae","Pleuropappus","","phyllocalymmeus","","","F.Muell.","gcc-75500","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuropetalum darwinii","Pleuropetalum","","darwinii",NA,NA,"","","tro-1101730",TRUE,"1.1","Accepted","Amaranthaceae","Pleuropetalum","","darwinii","","","Hook. f.","tro-1101730","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuropetalum sprucei","Pleuropetalum","","sprucei",NA,NA,"","","kew-2408294",TRUE,"1.1","Accepted","Amaranthaceae","Pleuropetalum","","sprucei","","","(Hook.f.) Standl.","kew-2408294","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurophascum grandiglobum","Pleurophascum","","grandiglobum",NA,NA,"","","tro-35124765",TRUE,"1.1","Accepted","Pleurophascaceae","Pleurophascum","","grandiglobum","","","Lindb.","tro-35124765","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurophascum occidentale","Pleurophascum","","occidentale",NA,NA,"","","tro-35183907",TRUE,"1.1","Accepted","Pleurophascaceae","Pleurophascum","","occidentale","","","R.E. Wyatt & A.H. Stoneb.","tro-35183907","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurophora anomala","Pleurophora","","anomala",NA,NA,"","","kew-2536828",TRUE,"1.1","Accepted","Lythraceae","Pleurophora","","anomala","","","(A.St.-Hil.) Koehne","kew-2536828","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurophora pungens","Pleurophora","","pungens",NA,NA,"","","tro-19200209",TRUE,"1.1","Accepted","Lythraceae","Pleurophora","","pungens","","","D. Don","tro-19200209","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurophora saccocarpa","Pleurophora","","saccocarpa",NA,NA,"","","tro-19200211",TRUE,"1.1","Accepted","Lythraceae","Pleurophora","","saccocarpa","","","Koehne","tro-19200211","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurophyllum criniferum","Pleurophyllum","","criniferum",NA,NA,"","","gcc-33677",TRUE,"1.1","Accepted","Compositae","Pleurophyllum","","criniferum","","","Hook.f.","gcc-33677","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurophyllum hookeri","Pleurophyllum","","hookeri",NA,NA,"","","gcc-141034",TRUE,"1.1","Accepted","Compositae","Pleurophyllum","","hookeri","","","Buchanan","gcc-141034","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurophyllum speciosum","Pleurophyllum","","speciosum",NA,NA,"","","gcc-140502",TRUE,"1.1","Accepted","Compositae","Pleurophyllum","","speciosum","","","Hook.f.","gcc-140502","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleuropogon sabinei","Pleuropogon","","sabinei",NA,NA,"","","kew-434970",TRUE,"1.1","Accepted","Poaceae","Pleuropogon","","sabinei","","","R.Br.","kew-434970","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurorthotrichum chilense","Pleurorthotrichum","","chilense",NA,NA,"","","tro-35124799",TRUE,"1.1","Accepted","Orthotrichaceae","Pleurorthotrichum","","chilense","","","Broth.","tro-35124799","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurosoriopsis makinoi","Pleurosoriopsis","","makinoi",NA,NA,"","","tro-26600271",TRUE,"1.1","Accepted","Polypodiaceae","Pleurosoriopsis","","makinoi","","","(Maxim. ex Makino) Fomin","tro-26600271","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurosorus rutifolius","Pleurosorus","","rutifolius",NA,NA,"","","tro-50338207",TRUE,"1.1","Unresolved","Aspleniaceae","Pleurosorus","","rutifolius","","","Fée","tro-50338207","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pleurospermopsis sikkimensis","Pleurospermopsis","","sikkimensis",NA,NA,"","","tro-50276625",TRUE,"1.1","Accepted","Apiaceae","Pleurospermopsis","","sikkimensis","","","(C.B. Clarke) C. Norman","tro-50276625","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurospermum austriacum","Pleurospermum","","austriacum",NA,NA,"","","kew-2405067",TRUE,"1.1","Accepted","Apiaceae","Pleurospermum","","austriacum","","","(L.) Hoffm.","kew-2405067","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurospermum camtschaticum","Pleurospermum","","camtschaticum",NA,NA,"","","tro-1703087",TRUE,"1.1","Synonym","Apiaceae","Pleurospermum","","uralense","","","Hoffm.","kew-2405125","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurospermum cristatum","Pleurospermum","","cristatum",NA,NA,"","","tro-1704638",TRUE,"1.1","Accepted","Apiaceae","Pleurospermum","","cristatum","","","H. Boissieu","tro-1704638","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurospermum davidii","Pleurospermum","","davidii",NA,NA,"","","tro-1704636",TRUE,"1.1","Synonym","Apiaceae","Pleurospermum","","benthamii","","","(Wall. ex DC.) C.B. Clarke","tro-50276571","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurospermum foetens","Pleurospermum","","foetens",NA,NA,"","","tro-1704637",TRUE,"1.1","Accepted","Apiaceae","Pleurospermum","","foetens","","","Franch.","tro-1704637","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurospermum giraldii","Pleurospermum","","giraldii",NA,NA,"","","tro-1704605",TRUE,"1.1","Accepted","Apiaceae","Pleurospermum","","giraldii","","","Diels","tro-1704605","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurospermum prattii","Pleurospermum","","prattii",NA,NA,"","","tro-1704641",TRUE,"1.1","Synonym","Apiaceae","Pleurospermum","","wrightianum","","","H. Boissieu","tro-1704640","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurospermum rivulorum","Pleurospermum","","rivulorum",NA,NA,"","","tro-50002794",TRUE,"1.1","Accepted","Apiaceae","Pleurospermum","","rivulorum","","","(Diels) M. Hiroe","tro-50002794","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurospermum uralense","Pleurospermum","","uralense",NA,NA,"","","kew-2405125",TRUE,"1.1","Accepted","Apiaceae","Pleurospermum","","uralense","","","Hoffm.","kew-2405125","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurostelma cernuum","Pleurostelma","","cernuum",NA,NA,"","","tro-2609697",TRUE,"1.1","Accepted","Apocynaceae","Pleurostelma","","cernuum","","","(Decne.) Bullock","tro-2609697","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurostylia africana","Pleurostylia","","africana",NA,NA,"","","kew-2408589",TRUE,"1.1","Accepted","Celastraceae","Pleurostylia","","africana","","","Loes.","kew-2408589","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurostylia capensis","Pleurostylia","","capensis",NA,NA,"","","tro-6600525",TRUE,"1.1","Accepted","Celastraceae","Pleurostylia","","capensis","","","Oliv.","tro-6600525","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurostylia leucocarpa","Pleurostylia","","leucocarpa",NA,NA,"","","kew-2408599",TRUE,"1.1","Unresolved","Celastraceae","Pleurostylia","","leucocarpa","","","Baker","kew-2408599","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pleurostylia opposita","Pleurostylia","","opposita",NA,NA,"","","tro-6600990",TRUE,"1.1","Accepted","Celastraceae","Pleurostylia","","opposita","","","(Wall.) Alston","tro-6600990","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pleurostylia pachyphloea","Pleurostylia","","pachyphloea",NA,NA,"","","tro-6600062",TRUE,"1.1","Accepted","Celastraceae","Pleurostylia","","pachyphlaea","","","Tul.","tro-6600062","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Pleurostylia putamen","Pleurostylia","","putamen",NA,NA,"","","kew-2408594",TRUE,"1.1","Unresolved","Celastraceae","Pleurostylia","","putamen","","","Marais","kew-2408594","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pleurostylia wightii","Pleurostylia","","wightii",NA,NA,"","","kew-2408579",TRUE,"1.1","Unresolved","Celastraceae","Pleurostylia","","wightii","","","Pierre","kew-2408579","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pleurothallis allenii","Pleurothallis","","allenii",NA,NA,"","","kew-159269",TRUE,"1.1","Accepted","Orchidaceae","Pleurothallis","","allenii","","","L.O.Williams","kew-159269","Accepted",FALSE,FALSE,FALSE,2017-05-11
