"Polyalthia luensis","Polyalthia","","luensis",NA,NA,"","","kew-2407950",TRUE,"1.1","Unresolved","Annonaceae","Polyalthia","","luensis","","","Finet & Gagnep.","kew-2407950","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia macropoda","Polyalthia","","macropoda",NA,NA,"","","kew-2407945",TRUE,"1.1","Synonym","Annonaceae","Phaeanthus","","ophthalmicus","","","(Roxb. ex G.Don) J.Sinclair","kew-2406858","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia motleyana","Polyalthia","","motleyana",NA,NA,"","","kew-2407969",TRUE,"1.1","Accepted","Annonaceae","Polyalthia","","motleyana","","","(Hook.f.) Airy Shaw","kew-2407969","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia obliqua","Polyalthia","","obliqua",NA,NA,"","","kew-2407909",TRUE,"1.1","Accepted","Annonaceae","Polyalthia","","obliqua","","","Hook.f. & Thomson","kew-2407909","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia parviflora","Polyalthia","","parviflora",NA,NA,"","","kew-2407892",TRUE,"1.1","Unresolved","Annonaceae","Polyalthia","","parviflora","","","Ridl.","kew-2407892","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia pedicellata","Polyalthia","","pedicellata",NA,NA,"","","kew-2407927",TRUE,"1.1","Unresolved","Annonaceae","Polyalthia","","pedicellata","","","A.C.Sm.","kew-2407927","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia simiarum","Polyalthia","","simiarum",NA,NA,"","","tro-50101459",TRUE,"1.1","Accepted","Annonaceae","Polyalthia","","simiarum","","","(Buch.-Ham. ex Hook. f. & Thomson) Benth. ex Hook. f. & Thomson","tro-50101459","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia stenopetala","Polyalthia","","stenopetala",NA,NA,"","","kew-2407651",TRUE,"1.1","Accepted","Annonaceae","Polyalthia","","stenopetala","","","(Hook.f. & Thomson) Finet & Gagnep.","kew-2407651","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia subcordata","Polyalthia","","subcordata",NA,NA,"","","kew-2407647",TRUE,"1.1","Accepted","Annonaceae","Polyalthia","","subcordata","","","(Blume) Blume","kew-2407647","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia suberosa","Polyalthia","","suberosa",NA,NA,"","","tro-1601561",TRUE,"1.1","Accepted","Annonaceae","Polyalthia","","suberosa","","","(Roxb.) Thwaites","tro-1601561","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia submontana","Polyalthia","","submontana",NA,NA,"","","",FALSE,"1.1","","","Polyalthia","","submontana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia trochilia","Polyalthia","","trochilia",NA,NA,"","","kew-2900492",TRUE,"1.1","Accepted","Annonaceae","Polyalthia","","trochilia","","","I.M.Turner","kew-2900492","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia xanthocarpa","Polyalthia","","xanthocarpa",NA,NA,"","","",FALSE,"1.1","","","Polyalthia","","xanthocarpa",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Polyalthia xanthopetala","Polyalthia","","xanthopetala",NA,NA,"","","kew-2407388",TRUE,"1.1","Accepted","Annonaceae","Polyalthia","","xanthopetala","","","Merr.","kew-2407388","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polyarrhena reflexa","Polyarrhena","","reflexa",NA,NA,"","","gcc-89992",TRUE,"1.1","Accepted","Compositae","Polyarrhena","","reflexa","","","(L.) Cass.","gcc-89992","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polybotrya aequatoriana","Polybotrya","","aequatoriana",NA,NA,"","","tro-26609326",TRUE,"1.1","Accepted","Dryopteridaceae","Polybotrya","","aequatoriana","","","R.C. Moran","tro-26609326","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polybotrya altescandens","Polybotrya","","altescandens",NA,NA,"","","tro-26609328",TRUE,"1.1","Accepted","Dryopteridaceae","Polybotrya","","altescandens","","","C. Chr.","tro-26609328","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polybotrya andina","Polybotrya","","andina",NA,NA,"","","tro-26609250",TRUE,"1.1","Accepted","Dryopteridaceae","Polybotrya","","andina","","","C. Chr.","tro-26609250","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polybotrya appressa","Polybotrya","","appressa",NA,NA,"","","tro-26609327",TRUE,"1.1","Accepted","Dryopteridaceae","Polybotrya","","appressa","","","R.C. Moran","tro-26609327","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polybotrya aucuparia","Polybotrya","","aucuparia",NA,NA,"","","tro-26607349",TRUE,"1.1","Synonym","Dryopteridaceae","Polybotrya","","polybotryoides","","","(Baker) Christ","tro-26609234","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polybotrya caudata","Polybotrya","","caudata",NA,NA,"","","tro-26606079",TRUE,"1.1","Accepted","Dryopteridaceae","Polybotrya","","caudata","","","Kunze","tro-26606079","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polybotrya crassirhizoma","Polybotrya","","crassirhizoma",NA,NA,"","","tro-26606076",TRUE,"1.1","Accepted","Dryopteridaceae","Polybotrya","","crassirhizoma","","","Lellinger","tro-26606076","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polybotrya cylindrica","Polybotrya","","cylindrica",NA,NA,"","","tro-26608071",TRUE,"1.1","Accepted","Dryopteridaceae","Polybotrya","","cylindrica","","","Kaulf.","tro-26608071","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polybotrya espiritosantensis","Polybotrya","","espiritosantensis",NA,NA,"","","tro-26609289",TRUE,"1.1","Accepted","Dryopteridaceae","Polybotrya","","espiritosantensis","","","Brade","tro-26609289","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polybotrya fractiserialis","Polybotrya","","fractiserialis",NA,NA,"","","tro-26609284",TRUE,"1.1","Accepted","Dryopteridaceae","Polybotrya","","fractiserialis","","","(Baker) J. Sm.","tro-26609284","Accepted",FALSE,FALSE,FALSE,2017-05-11
