"Polystichum yunnanense","Polystichum","","yunnanense",NA,NA,"","","tro-26610912",TRUE,"1.1","Accepted","Dryopteridaceae","Polystichum","","yunnanense","","","Christ","tro-26610912","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaenia nuttallii","Polytaenia","","nuttallii",NA,NA,"","","tro-1700987",TRUE,"1.1","Accepted","Apiaceae","Polytaenia","","nuttallii","","","DC.","tro-1700987","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaenia texana","Polytaenia","","texana",NA,NA,"","","tro-1700988",TRUE,"1.1","Accepted","Apiaceae","Polytaenia","","texana","","","(J.M. Coult. & Rose) Mathias & Constance","tro-1700988","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaenium brasilianum","Polytaenium","","brasilianum",NA,NA,"","","tro-26606886",TRUE,"1.1","Accepted","Pteridaceae","Polytaenium","","brasilianum","","","(Desv.) Benedict","tro-26606886","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaenium cajenense","Polytaenium","","cajenense",NA,NA,"","","tro-26606880",TRUE,"1.1","Accepted","Pteridaceae","Polytaenium","","cajenense","","","(Desv.) Benedict","tro-26606880","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaenium chlorosporum","Polytaenium","","chlorosporum",NA,NA,"","","tro-50217744",TRUE,"1.1","Accepted","Pteridaceae","Polytaenium","","chlorosporum","","","(Mickel & Beitel) E.H. Crane","tro-50217744","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaenium citrifolium","Polytaenium","","citrifolium",NA,NA,"","","",FALSE,"1.1","","","Polytaenium","","citrifolium",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Polytaenium feei","Polytaenium","","feei",NA,NA,"","","tro-26602444",TRUE,"1.1","Accepted","Pteridaceae","Polytaenium","","feei","","","(W. Schaffn. ex Fée) Maxon","tro-26602444","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaenium guayanense","Polytaenium","","guayanense",NA,NA,"","","tro-26606884",TRUE,"1.1","Accepted","Pteridaceae","Polytaenium","","guayanense","","","(Hieron.) Alston","tro-26606884","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaenium lanceolatum","Polytaenium","","lanceolatum",NA,NA,"","","tro-26606879",TRUE,"1.1","Synonym","Pteridaceae","Antrophyum","","lineatum","","","(Sw.) Kaulf.","tro-26606878","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaenium lineatum","Polytaenium","","lineatum",NA,NA,"","","tro-26602445",TRUE,"1.1","Accepted","Pteridaceae","Polytaenium","","lineatum","","","(Sw.) J. Sm.","tro-26602445","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaxis lehmannii","Polytaxis","","lehmannii",NA,NA,"","","gcc-113631",TRUE,"1.1","Accepted","Compositae","Polytaxis","","lehmannii","","","Bunge","gcc-113631","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytaxis winkleri","Polytaxis","","winkleri",NA,NA,"","","gcc-22018",TRUE,"1.1","Accepted","Compositae","Polytaxis","","winkleri","","","Iljin","gcc-22018","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytoca digitata","Polytoca","","digitata",NA,NA,"","","kew-438150",TRUE,"1.1","Accepted","Poaceae","Polytoca","","digitata","","","(L.f.) Druce","kew-438150","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytoca wallichiana","Polytoca","","wallichiana",NA,NA,"","","kew-438158",TRUE,"1.1","Accepted","Poaceae","Polytoca","","wallichiana","","","(Steud.) Benth.","kew-438158","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrias indica","Polytrias","","indica",NA,NA,"","","kew-438164",TRUE,"1.1","Accepted","Poaceae","Polytrias","","indica","","","(Houtt.) Veldkamp","kew-438164","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichadelphus aristatus","Polytrichadelphus","","aristatus",NA,NA,"","","tro-35125088",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichadelphus","","aristatus","","","(Hampe) Mitt.","tro-35125088","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichadelphus ciliatus","Polytrichadelphus","","ciliatus",NA,NA,"","","tro-35125094",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichadelphus","","ciliatus","","","(Hook. & Wilson) Mitt.","tro-35125094","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichadelphus giganteus","Polytrichadelphus","","giganteus",NA,NA,"","","tro-35125103",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichadelphus","","giganteus","","","(Hook.) Mitt.","tro-35125103","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichadelphus innovans","Polytrichadelphus","","innovans",NA,NA,"","","tro-35125107",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichadelphus","","innovans","","","(Müll. Hal.) A. Jaeger","tro-35125107","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichadelphus longisetus","Polytrichadelphus","","longisetus",NA,NA,"","","tro-35125111",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichadelphus","","longisetus","","","(Brid.) Mitt.","tro-35125111","Accepted",FALSE,FALSE,FALSE,2017-05-11
