"Prostanthera ammophila","Prostanthera","","ammophila",NA,NA,"","","kew-165681",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","ammophila","","","B.J.Conn","kew-165681","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera askania","Prostanthera","","askania",NA,NA,"","","kew-340095",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","askania","","","B.J.Conn","kew-340095","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera aspalathoides","Prostanthera","","aspalathoides",NA,NA,"","","kew-165683",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","aspalathoides","","","A.Cunn. ex Benth.","kew-165683","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera athertoniana","Prostanthera","","athertoniana",NA,NA,"","","",FALSE,"1.1","","","Prostanthera","","athertoniana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera baxteri","Prostanthera","","baxteri",NA,NA,"","","kew-165686",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","baxteri","","","A.Cunn. ex Benth.","kew-165686","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera caerulea","Prostanthera","","caerulea",NA,NA,"","","kew-165689",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","caerulea","","","R.Br.","kew-165689","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera calycina","Prostanthera","","calycina",NA,NA,"","","kew-165691",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","calycina","","","F.Muell. ex Benth.","kew-165691","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera campbellii","Prostanthera","","campbellii",NA,NA,"","","kew-165692",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","campbellii","","","F.Muell.","kew-165692","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera canaliculata","Prostanthera","","canaliculata",NA,NA,"","","kew-165693",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","canaliculata","","","F.Muell.","kew-165693","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera carrickiana","Prostanthera","","carrickiana",NA,NA,"","","kew-165695",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","carrickiana","","","B.J.Conn","kew-165695","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera centralis","Prostanthera","","centralis",NA,NA,"","","kew-165696",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","centralis","","","B.J.Conn","kew-165696","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera chlorantha","Prostanthera","","chlorantha",NA,NA,"","","kew-165697",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","chlorantha","","","(F.Muell.) Benth.","kew-165697","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera cineolifera","Prostanthera","","cineolifera",NA,NA,"","","kew-165699",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","cineolifera","","","R.T.Baker & H.G.Sm.","kew-165699","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera clotteniana","Prostanthera","","clotteniana",NA,NA,"","","kew-165700",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","clotteniana","","","(F.M.Bailey) A.R.Bean","kew-165700","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera cruciflora","Prostanthera","","cruciflora",NA,NA,"","","kew-165704",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","cruciflora","","","J.H.Willis","kew-165704","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera cryptandroides","Prostanthera","","cryptandroides",NA,NA,"","","kew-165705",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","cryptandroides","","","A.Cunn. ex Benth.","kew-165705","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera cuneata","Prostanthera","","cuneata",NA,NA,"","","kew-165708",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","cuneata","","","Benth.","kew-165708","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera decussata","Prostanthera","","decussata",NA,NA,"","","kew-165710",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","decussata","","","F.Muell.","kew-165710","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera densa","Prostanthera","","densa",NA,NA,"","","kew-165711",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","densa","","","A.A.Ham.","kew-165711","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera denticulata","Prostanthera","","denticulata",NA,NA,"","","kew-165712",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","denticulata","","","R.Br.","kew-165712","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera discolor","Prostanthera","","discolor",NA,NA,"","","kew-165713",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","discolor","","","R.T.Baker","kew-165713","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera eckersleyana","Prostanthera","","eckersleyana",NA,NA,"","","kew-165714",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","eckersleyana","","","F.Muell.","kew-165714","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera eungella","Prostanthera","","eungella",NA,NA,"","","",FALSE,"1.1","","","Prostanthera","","eungella",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera eurybioides","Prostanthera","","eurybioides",NA,NA,"","","kew-165718",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","eurybioides","","","F.Muell.","kew-165718","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera ferricola","Prostanthera","","ferricola",NA,NA,"","","kew-375048",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","ferricola","","","B.J.Conn & K.A.Sheph.","kew-375048","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera florifera","Prostanthera","","florifera",NA,NA,"","","kew-165719",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","florifera","","","B.J.Conn","kew-165719","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera galbraithiae","Prostanthera","","galbraithiae",NA,NA,"","","kew-165720",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","galbraithiae","","","B.J.Conn","kew-165720","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera granitica","Prostanthera","","granitica",NA,NA,"","","kew-165721",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","granitica","","","Maiden & Betche","kew-165721","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera grylloana","Prostanthera","","grylloana",NA,NA,"","","kew-165722",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","grylloana","","","F.Muell.","kew-165722","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera hindii","Prostanthera","","hindii",NA,NA,"","","kew-340096",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","hindii","","","B.J.Conn","kew-340096","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera hirtula","Prostanthera","","hirtula",NA,NA,"","","kew-165723",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","hirtula","","","F.Muell. ex Benth.","kew-165723","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera howelliae","Prostanthera","","howelliae",NA,NA,"","","kew-165724",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","howelliae","","","Blakely","kew-165724","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera incana","Prostanthera","","incana",NA,NA,"","","kew-165725",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","incana","","","A.Cunn. ex Benth.","kew-165725","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera incisa","Prostanthera","","incisa",NA,NA,"","","kew-165726",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","incisa","","","R.Br.","kew-165726","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera incurvata","Prostanthera","","incurvata",NA,NA,"","","kew-165727",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","incurvata","","","B.J.Conn","kew-165727","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera junonis","Prostanthera","","junonis",NA,NA,"","","kew-340097",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","junonis","","","B.J.Conn","kew-340097","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera laricoides","Prostanthera","","laricoides",NA,NA,"","","kew-165729",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","laricoides","","","B.J.Conn","kew-165729","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera lasianthos","Prostanthera","","lasianthos",NA,NA,"","","kew-165730",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","lasianthos","","","Labill.","kew-165730","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera linearis","Prostanthera","","linearis",NA,NA,"","","kew-165734",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","linearis","","","R.Br.","kew-165734","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera magnifica","Prostanthera","","magnifica",NA,NA,"","","kew-165736",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","magnifica","","","C.A.Gardner","kew-165736","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera marifolia","Prostanthera","","marifolia",NA,NA,"","","kew-165737",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","marifolia","","","R.Br.","kew-165737","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera melissifolia","Prostanthera","","melissifolia",NA,NA,"","","kew-165739",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","melissifolia","","","F.Muell.","kew-165739","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera monticola","Prostanthera","","monticola",NA,NA,"","","kew-165741",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","monticola","","","B.J.Conn","kew-165741","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera mulliganensis","Prostanthera","","mulliganensis",NA,NA,"","","",FALSE,"1.1","","","Prostanthera","","mulliganensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera nivea","Prostanthera","","nivea",NA,NA,"","","kew-165743",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","nivea","","","A.Cunn. ex Benth.","kew-165743","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera nudula","Prostanthera","","nudula",NA,NA,"","","kew-165744",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","nudula","","","J.M.Black ex E.L.Robertson","kew-165744","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera ovalifolia","Prostanthera","","ovalifolia",NA,NA,"","","kew-165746",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","ovalifolia","","","R.Br.","kew-165746","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera palustris","Prostanthera","","palustris",NA,NA,"","","kew-340098",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","palustris","","","B.J.Conn","kew-340098","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera patens","Prostanthera","","patens",NA,NA,"","","kew-165749",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","patens","","","B.J.Conn","kew-165749","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera petraea","Prostanthera","","petraea",NA,NA,"","","kew-348055",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","petraea","","","B.J.Conn","kew-348055","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera petrophila","Prostanthera","","petrophila",NA,NA,"","","kew-165752",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","petrophila","","","B.J.Conn","kew-165752","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Prostanthera phylicifolia","Prostanthera","","phylicifolia",NA,NA,"","","kew-165753",TRUE,"1.1","Accepted","Lamiaceae","Prostanthera","","phylicifolia","","","F.Muell.","kew-165753","Accepted",FALSE,FALSE,FALSE,2017-05-11
