"Pseudopeponidium asosa","Pseudopeponidium","","asosa",NA,NA,"","","kew-166451",TRUE,"1.1","Synonym","Rubiaceae","Pyrostria","","asosa","","","(Arènes) Razafim., Lantz & B.Bremer","kew-373825","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophegopteris brevipes","Pseudophegopteris","","brevipes",NA,NA,"","","tro-26624510",TRUE,"1.1","Accepted","Thelypteridaceae","Pseudophegopteris","","brevipes","","","Ching & S.K. Wu","tro-26624510","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophegopteris hirtirachis","Pseudophegopteris","","hirtirachis",NA,NA,"","","tro-26623881",TRUE,"1.1","Accepted","Thelypteridaceae","Pseudophegopteris","","hirtirachis","","","(C. Chr.) Holttum","tro-26623881","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophegopteris levingei","Pseudophegopteris","","levingei",NA,NA,"","","tro-26600294",TRUE,"1.1","Accepted","Thelypteridaceae","Pseudophegopteris","","levingei","","","(C.B. Clarke) Ching","tro-26600294","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophegopteris microstegia","Pseudophegopteris","","microstegia",NA,NA,"","","tro-26624509",TRUE,"1.1","Accepted","Thelypteridaceae","Pseudophegopteris","","microstegia","","","(Hook.) Ching","tro-26624509","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophegopteris paludosa","Pseudophegopteris","","paludosa",NA,NA,"","","tro-50225547",TRUE,"1.1","Synonym","Thelypteridaceae","Macrothelypteris","","paludosa","","","(Blume) Á. Löve & D. Löve","tro-26626054","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophegopteris pyrrhorachis","Pseudophegopteris","","pyrrhorachis",NA,NA,"","","tro-26610169",TRUE,"1.1","Accepted","Thelypteridaceae","Pseudophegopteris","","pyrrhorachis","","","(Kunze) Ching","tro-26610169","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophegopteris tibetana","Pseudophegopteris","","tibetana",NA,NA,"","","tro-26624512",TRUE,"1.1","Accepted","Thelypteridaceae","Pseudophegopteris","","tibetana","","","Ching & S.K. Wu","tro-26624512","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophegopteris yunkweiensis","Pseudophegopteris","","yunkweiensis",NA,NA,"","","tro-50052226",TRUE,"1.1","Accepted","Thelypteridaceae","Pseudophegopteris","","yunkweiensis","","","(Ching) Ching","tro-50052226","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophegopteris zayuensis","Pseudophegopteris","","zayuensis",NA,NA,"","","tro-26624511",TRUE,"1.1","Accepted","Thelypteridaceae","Pseudophegopteris","","zayuensis","","","Ching & S.K. Wu","tro-26624511","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophoenix ekmanii","Pseudophoenix","","ekmanii",NA,NA,"","","kew-166472",TRUE,"1.1","Accepted","Arecaceae","Pseudophoenix","","ekmanii","","","Burret","kew-166472","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophoenix lediniana","Pseudophoenix","","lediniana",NA,NA,"","","kew-166476",TRUE,"1.1","Accepted","Arecaceae","Pseudophoenix","","lediniana","","","Read","kew-166476","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophoenix sargentii","Pseudophoenix","","sargentii",NA,NA,"","","kew-166480",TRUE,"1.1","Accepted","Arecaceae","Pseudophoenix","","sargentii","","","H.Wendl. ex Sarg.","kew-166480","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudophoenix vinifera","Pseudophoenix","","vinifera",NA,NA,"","","kew-166483",TRUE,"1.1","Accepted","Arecaceae","Pseudophoenix","","vinifera","","","(Mart.) Becc.","kew-166483","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pseudopimpinella anthriscoides","Pseudopimpinella","","anthriscoides",NA,NA,"","","kew-2900509",TRUE,"1.1","Unresolved","Apiaceae","Pseudopimpinella","","anthriscoides","","","(Boiss.) F.Ghahrem., Khajepiri & Mozaff.","kew-2900509","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pseudopiptadenia bahiana","Pseudopiptadenia","","bahiana",NA,NA,"","","ild-33935",TRUE,"1.1","Accepted","Leguminosae","Pseudopiptadenia","","bahiana","","","G.P.Lewis & M.P.Lima","ild-33935","Accepted",FALSE,FALSE,FALSE,2017-05-11
