"Pteris flava","Pteris","","flava",NA,NA,"","","tro-26605620",TRUE,"1.1","Synonym","Pteridaceae","Pteris","","linearis","","","Poir.","tro-26600307","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris formosana","Pteris","","formosana",NA,NA,"","","tro-26611260",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","formosana","","","Baker","tro-26611260","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris fraseri","Pteris","","fraseri",NA,NA,"","","tro-26608633",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","fraseri","","","Mett. ex Kuhn","tro-26608633","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris friesii","Pteris","","friesii",NA,NA,"","","tro-26604370",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","friesii","","","Hieron.","tro-26604370","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris gallinopes","Pteris","","gallinopes",NA,NA,"","","tro-26619516",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","gallinopes","","","Ching","tro-26619516","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris geminata","Pteris","","geminata",NA,NA,"","","ifn-46820",TRUE,"1.1","Unresolved","Pteridaceae","Pteris","","geminata","","","Wall.","ifn-46820","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pteris giasii","Pteris","","giasii",NA,NA,"","","tro-100356693",TRUE,"1.1","Unresolved","Pteridaceae","Pteris","","giasii","","","Fraser-Jenk. & Pasha","tro-100356693","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pteris glaucovirens","Pteris","","glaucovirens",NA,NA,"","","tro-50089713",TRUE,"1.1","Unresolved","Pteridaceae","Pteris","","glaucovirens","","","Linden","tro-50089713","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pteris grandifolia","Pteris","","grandifolia",NA,NA,"","","tro-26602464",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","grandifolia","","","L.","tro-26602464","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris grevilleana","Pteris","","grevilleana",NA,NA,"","","tro-26611261",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","grevilleana","","","Wall. ex J. Agardh","tro-26611261","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris griffithii","Pteris","","griffithii",NA,NA,"","","ifn-46852",TRUE,"1.1","Unresolved","Pteridaceae","Pteris","","griffithii","","","Hook.","ifn-46852","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pteris griseoviridis","Pteris","","griseoviridis",NA,NA,"","","tro-26600826",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","griseoviridis","","","C. Chr.","tro-26600826","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris guangdongensis","Pteris","","guangdongensis",NA,NA,"","","tro-26619518",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","guangdongensis","","","Ching","tro-26619518","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris haenkeana","Pteris","","haenkeana",NA,NA,"","","tro-26606844",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","haenkeana","","","C. Presl","tro-26606844","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris hainanensis","Pteris","","hainanensis",NA,NA,"","","tro-26613102",TRUE,"1.1","Synonym","Pteridaceae","Pteris","","cadieri","var.","hainanensis","(Ching) S.H. Wu","tro-26619590","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris henryi","Pteris","","henryi",NA,NA,"","","tro-26612698",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","henryi","","","Christ","tro-26612698","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris heteromorpha","Pteris","","heteromorpha",NA,NA,"","","tro-26619597",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","heteromorpha","","","Fée","tro-26619597","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris himalayensis","Pteris","","himalayensis",NA,NA,"","","ifn-46893",TRUE,"1.1","Unresolved","Pteridaceae","Pteris","","himalayensis","","","S.R.Ghosh","ifn-46893","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pteris humbertii","Pteris","","humbertii",NA,NA,"","","tro-26600833",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","humbertii","","","C. Chr.","tro-26600833","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pteris incompleta","Pteris","","incompleta",NA,NA,"","","tro-26610172",TRUE,"1.1","Unresolved","Pteridaceae","Pteris","","incompleta","","","Cav.","tro-26610172","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pteris insignis","Pteris","","insignis",NA,NA,"","","tro-26619266",TRUE,"1.1","Accepted","Pteridaceae","Pteris","","insignis","","","Mett. ex Kuhn","tro-26619266","Accepted",FALSE,FALSE,FALSE,2017-05-11
