"Radula uvifera","Radula","","uvifera",NA,NA,"","","tro-35185918",TRUE,"1.1","Accepted","Radulaceae","Radula","","prolifera","","","S.W. Arnell","tro-35185918","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Radula varilobula","Radula","","varilobula",NA,NA,"","","tro-35209411",TRUE,"1.1","Accepted","Radulaceae","Radula","","varilobula","","","Castle","tro-35209411","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Radula voluta","Radula","","voluta",NA,NA,"","","tro-35185921",TRUE,"1.1","Accepted","Radulaceae","Radula","","voluta","","","Taylor","tro-35185921","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Radula wattsiana","Radula","","wattsiana",NA,NA,"","","",FALSE,"1.1","","","Radula","","wattsiana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Radula weymouthiana","Radula","","weymouthiana",NA,NA,"","","",FALSE,"1.1","","","Radula","","weymouthiana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Radula wichurae","Radula","","wichurae",NA,NA,"","","tro-35207544",TRUE,"1.1","Accepted","Radulaceae","Radula","","wichurae","","","Stephani","tro-35207544","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Radula yangii","Radula","","yangii",NA,NA,"","","tro-35209487",TRUE,"1.1","Accepted","Radulaceae","Radula","","yangii","","","K. Yamada","tro-35209487","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Radulina borbonica","Radulina","","borbonica",NA,NA,"","","tro-35188354",TRUE,"1.1","Accepted","Sematophyllaceae","Radulina","","borbonica","","","(Bél.) W.R. Buck","tro-35188354","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Radulina hamata","Radulina","","hamata",NA,NA,"","","tro-35184337",TRUE,"1.1","Accepted","Sematophyllaceae","Radulina","","hamata","","","(Dozy & Molk.) W.R. Buck & B.C. Tan","tro-35184337","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Radyera farragei","Radyera","","farragei",NA,NA,"","","kew-2869151",TRUE,"1.1","Accepted","Malvaceae","Radyera","","farragei","","","(F.Muell.) Fryxell & S.H.Hashmi","kew-2869151","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Raffenaldia primuloides","Raffenaldia","","primuloides",NA,NA,"","","kew-2869155",TRUE,"1.1","Accepted","Brassicaceae","Raffenaldia","","primuloides","","","Godr.","kew-2869155","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rafflesia arnoldii","Rafflesia","","arnoldii",NA,NA,"","","kew-2869157",TRUE,"1.1","Accepted","Rafflesiaceae","Rafflesia","","arnoldii","","","R.Br.","kew-2869157","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rafflesia azlanii","Rafflesia","","azlanii",NA,NA,"","","kew-2522635",TRUE,"1.1","Unresolved","Rafflesiaceae","Rafflesia","","azlanii","","","Latiff & M.Wong","kew-2522635","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Rafflesia cantleyi","Rafflesia","","cantleyi",NA,NA,"","","kew-2869160",TRUE,"1.1","Accepted","Rafflesiaceae","Rafflesia","","cantleyi","","","Solms","kew-2869160","Accepted",FALSE,FALSE,FALSE,2017-05-11
