"Riccardia eriocaula","Riccardia","","eriocaula",NA,NA,"","","tro-35206785",TRUE,"1.1","Synonym","Aneuraceae","Aneura","","eriocaula","","","(Hook.) Stephani","tro-35192086","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia filicina","Riccardia","","filicina",NA,NA,"","","tro-35206783",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","filicina","","","(Colenso) E.A. Hodgs.","tro-35206783","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia fucoides","Riccardia","","fucoides",NA,NA,"","","tro-35204561",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","fucoides","","","(Sw.) A. Massal.","tro-35204561","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia graeffei","Riccardia","","graeffei",NA,NA,"","","tro-35209814",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","graeffei","","","(Stephani) Hewson","tro-35209814","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia hans","Riccardia","","hans",NA,NA,"","","tro-35209818",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","nana","","","(Hook. f. & Taylor) Trevis.","tro-35209818","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Riccardia heteroclada","Riccardia","","heteroclada",NA,NA,"","","tro-35192091",TRUE,"1.1","Synonym","Aneuraceae","Aneura","","heteroclada","","","(Schiffner) Stephani","tro-35200067","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia incurvata","Riccardia","","incurvata",NA,NA,"","","tro-35185927",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","incurvata","","","Lindb.","tro-35185927","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia latifrons","Riccardia","","latifrons",NA,NA,"","","tro-35185928",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","latifrons","","","(Lindb.) Lindb.","tro-35185928","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia longispica","Riccardia","","longispica",NA,NA,"","","tro-35215834",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","longispica","","","(Stephani) Pearson","tro-35215834","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia marginata","Riccardia","","marginata",NA,NA,"","","tro-35206626",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","marginata","","","(Colenso) Pearson","tro-35206626","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia multifida","Riccardia","","multifida",NA,NA,"","","tro-35185929",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","multifida","","","(L.) Gray","tro-35185929","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia pallida","Riccardia","","pallida",NA,NA,"","","tro-35202725",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","pallida","","","(Spruce) Meenks & C. De Jong","tro-35202725","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia palmata","Riccardia","","palmata",NA,NA,"","","tro-35185932",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","palmata","","","(Hedw.) Carruth.","tro-35185932","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia parasitans","Riccardia","","parasitans",NA,NA,"","","tro-35202745",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","parasitans","","","(Steph.) Meenks & C. De Jong","tro-35202745","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia parvula","Riccardia","","parvula",NA,NA,"","","tro-35200237",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","parvula","","","Schiffner","tro-35200237","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia plumiformis","Riccardia","","plumiformis",NA,NA,"","","tro-35202097",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","plumiformis","","","(Spruce) Hässel de Menéndez ex Meenks","tro-35202097","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia prehensilis","Riccardia","","prehensilis",NA,NA,"","","tro-35190218",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","prehensilis","","","(Hook. f. & Taylor) C. Massal.","tro-35190218","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia regnellii","Riccardia","","regnellii",NA,NA,"","","",FALSE,"1.1","","","Riccardia","","regnellii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Riccardia schwaneckei","Riccardia","","schwaneckei",NA,NA,"","","",FALSE,"1.1","","","Riccardia","","schwaneckei",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Riccardia smaragdina","Riccardia","","smaragdina",NA,NA,"","","tro-35202597",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","smaragdina","","","Meenks & C. De Jong","tro-35202597","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia sprucei","Riccardia","","sprucei",NA,NA,"","","tro-35202791",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","sprucei","","","(Stephani) Meenks & C. De Jong","tro-35202791","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia stipatiflora","Riccardia","","stipatiflora",NA,NA,"","","tro-35205747",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","stipatiflora","","","(Stephani) Pagan","tro-35205747","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia trichomanoides","Riccardia","","trichomanoides",NA,NA,"","","tro-35202173",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","trichomanoides","","","(Spruce) Hässel de Menéndez ex Meenks","tro-35202173","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia vitrea","Riccardia","","vitrea",NA,NA,"","","tro-35206617",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","vitrea","","","Furuki","tro-35206617","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccardia wattsiana","Riccardia","","wattsiana",NA,NA,"","","tro-35206774",TRUE,"1.1","Accepted","Aneuraceae","Riccardia","","wattsiana","","","(Stephani) Hewson","tro-35206774","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia albida","Riccia","","albida",NA,NA,"","","tro-35185933",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","albida","","","Sull.","tro-35185933","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia albolimbata","Riccia","","albolimbata",NA,NA,"","","tro-35191299",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","albolimbata","","","S.W. Arnell","tro-35191299","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia atromarginata","Riccia","","atromarginata",NA,NA,"","","tro-35187947",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","atromarginata","","","Levier","tro-35187947","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia beyrichiana","Riccia","","beyrichiana",NA,NA,"","","tro-35185935",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","beyrichiana","","","Hampe ex Lehm.","tro-35185935","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia boumanii","Riccia","","boumanii",NA,NA,"","","",FALSE,"1.1","","","Riccia","","boumanii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Riccia bullosa","Riccia","","bullosa",NA,NA,"","","tro-35204198",TRUE,"1.1","Synonym","Exormothecaceae","Exormotheca","","bullosa","","","(Stephani) K. Müller","tro-35208450","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia campbelliana","Riccia","","campbelliana",NA,NA,"","","tro-35185951",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","campbelliana","","","M. Howe","tro-35185951","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia cavernosa","Riccia","","cavernosa",NA,NA,"","","tro-35185953",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","cavernosa","","","Hoffm.","tro-35185953","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia ciliifera","Riccia","","ciliifera",NA,NA,"","","tro-35206369",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","ciliifera","","","Link ex Lindenb.","tro-35206369","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia concava","Riccia","","concava",NA,NA,"","","tro-35204200",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","concava","","","Bisch. ex Gottsche","tro-35204200","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia crystallina","Riccia","","crystallina",NA,NA,"","","tro-35185326",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","crystallina","","","L.","tro-35185326","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia elongata","Riccia","","elongata",NA,NA,"","","tro-35207702",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","elongata","","","Perold","tro-35207702","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia fluitans","Riccia","","fluitans",NA,NA,"","","tro-35185958",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","fluitans","","","L.","tro-35185958","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia frostii","Riccia","","frostii",NA,NA,"","","tro-35185959",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","frostii","","","Austin","tro-35185959","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia furfuracea","Riccia","","furfuracea",NA,NA,"","","tro-35204201",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","furfuracea","","","Perold","tro-35204201","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia glauca","Riccia","","glauca",NA,NA,"","","tro-35185960",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","glauca","","","L.","tro-35185960","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia gougetiana","Riccia","","gougetiana",NA,NA,"","","tro-35204912",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","gougetiana","","","Durieu & Mont.","tro-35204912","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia huebeneriana","Riccia","","huebeneriana",NA,NA,"","","tro-35204896",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","huebeneriana","","","Lindenb.","tro-35204896","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia lamellosa","Riccia","","lamellosa",NA,NA,"","","tro-35187955",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","lamellosa","","","Raddi","tro-35187955","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Riccia macrocarpa","Riccia","","macrocarpa",NA,NA,"","","tro-35206372",TRUE,"1.1","Accepted","Ricciaceae","Riccia","","macrocarpa","","","Levier","tro-35206372","Accepted",FALSE,FALSE,FALSE,2017-05-11
