"Rytidosperma pallidum","Rytidosperma","","pallidum",NA,NA,"","","kew-468046",TRUE,"1.1","Accepted","Poaceae","Rytidosperma","","pallidum","","","(R.Br.) A.M.Humphreys & H.P.Linder","kew-468046","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytidosperma petrosum","Rytidosperma","","petrosum",NA,NA,"","","kew-439804",TRUE,"1.1","Accepted","Poaceae","Rytidosperma","","petrosum","","","Connor & Edgar","kew-439804","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytidosperma pictum","Rytidosperma","","pictum",NA,NA,"","","kew-439805",TRUE,"1.1","Accepted","Poaceae","Rytidosperma","","pictum","","","(Nees & Meyen) Nicora","kew-439805","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytidosperma pumilum","Rytidosperma","","pumilum",NA,NA,"","","kew-439812",TRUE,"1.1","Accepted","Poaceae","Rytidosperma","","pumilum","","","(Kirk) Connor & Edgar","kew-439812","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytidosperma setifolium","Rytidosperma","","setifolium",NA,NA,"","","kew-439820",TRUE,"1.1","Accepted","Poaceae","Rytidosperma","","setifolium","","","(Hook.f.) Connor & Edgar","kew-439820","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytidosperma vestitum","Rytidosperma","","vestitum",NA,NA,"","","kew-439828",TRUE,"1.1","Accepted","Poaceae","Rytidosperma","","vestitum","","","(Pilg.) Connor & Edgar","kew-439828","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytidostylis ciliata","Rytidostylis","","ciliata",NA,NA,"","","kew-2416493",TRUE,"1.1","Synonym","Cucurbitaceae","Rytidostylis","","carthagenensis","","","(Jacq.) Kuntze","kew-2416477","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytidostylis gracilis","Rytidostylis","","gracilis",NA,NA,"","","kew-2416472",TRUE,"1.1","Accepted","Cucurbitaceae","Rytidostylis","","gracilis","","","Hook. & Arn.","kew-2416472","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytigynia adenodonta","Rytigynia","","adenodonta",NA,NA,"","","kew-180869",TRUE,"1.1","Accepted","Rubiaceae","Rytigynia","","adenodonta","","","(K.Schum.) Robyns","kew-180869","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytigynia bagshawei","Rytigynia","","bagshawei",NA,NA,"","","kew-180875",TRUE,"1.1","Accepted","Rubiaceae","Rytigynia","","bagshawei","","","(S.Moore) Robyns","kew-180875","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytigynia beniensis","Rytigynia","","beniensis",NA,NA,"","","kew-180878",TRUE,"1.1","Accepted","Rubiaceae","Rytigynia","","beniensis","","","(De Wild.) Robyns","kew-180878","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Rytigynia celastroides","Rytigynia","","celastroides",NA,NA,"","","kew-180893",TRUE,"1.1","Accepted","Rubiaceae","Rytigynia","","celastroides","","","(Baill.) Verdc.","kew-180893","Accepted",FALSE,FALSE,FALSE,2017-05-11
