"Satyrium bicorne","Satyrium","","bicorne",NA,NA,"","","kew-186081",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","bicorne","","","(L.) Thunb.","kew-186081","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium bracteatum","Satyrium","","bracteatum",NA,NA,"","","kew-186090",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","bracteatum","","","(L.f.) Thunb.","kew-186090","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium breve","Satyrium","","breve",NA,NA,"","","kew-186092",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","breve","","","Rolfe","kew-186092","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium buchananii","Satyrium","","buchananii",NA,NA,"","","kew-186095",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","buchananii","","","Schltr.","kew-186095","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium candidum","Satyrium","","candidum",NA,NA,"","","kew-186097",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","candidum","","","Lindl.","kew-186097","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium carneum","Satyrium","","carneum",NA,NA,"","","kew-186100",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","carneum","","","(Aiton) Sims","kew-186100","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium carsonii","Satyrium","","carsonii",NA,NA,"","","kew-186101",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","carsonii","","","Rolfe","kew-186101","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium cheirophorum","Satyrium","","cheirophorum",NA,NA,"","","kew-186104",TRUE,"1.1","Synonym","Orchidaceae","Satyrium","","macrophyllum","","","Lindl.","kew-186202","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium chlorocorys","Satyrium","","chlorocorys",NA,NA,"","","kew-186105",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","chlorocorys","","","Rchb.f. ex Rolfe","kew-186105","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium comptum","Satyrium","","comptum",NA,NA,"","","kew-186110",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","comptum","","","Summerh.","kew-186110","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium coriifolium","Satyrium","","coriifolium",NA,NA,"","","kew-186114",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","coriifolium","","","Sw.","kew-186114","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium coriophoroides","Satyrium","","coriophoroides",NA,NA,"","","kew-186115",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","coriophoroides","","","A.Rich.","kew-186115","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium crassicaule","Satyrium","","crassicaule",NA,NA,"","","kew-186119",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","crassicaule","","","Rendle","kew-186119","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium cristatum","Satyrium","","cristatum",NA,NA,"","","kew-186120",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","cristatum","","","Sond.","kew-186120","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium elongatum","Satyrium","","elongatum",NA,NA,"","","kew-186137",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","elongatum","","","Rolfe","kew-186137","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium emarcidum","Satyrium","","emarcidum",NA,NA,"","","kew-186138",TRUE,"1.1","Synonym","Orchidaceae","Satyrium","","ligulatum","","","Lindl.","kew-186190","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium erectum","Satyrium","","erectum",NA,NA,"","","kew-186140",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","erectum","","","Sw.","kew-186140","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Satyrium fimbriatum","Satyrium","","fimbriatum",NA,NA,"","","kew-186148",TRUE,"1.1","Accepted","Orchidaceae","Satyrium","","fimbriatum","","","Summerh.","kew-186148","Accepted",FALSE,FALSE,FALSE,2017-05-11
