"Siphanthera arenaria","Siphanthera","","arenaria",NA,NA,"","","tro-20301622",TRUE,"1.1","Accepted","Melastomataceae","Siphanthera","","arenaria","","","(DC.) Cogn.","tro-20301622","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphanthera cordata","Siphanthera","","cordata",NA,NA,"","","tro-50286904",TRUE,"1.1","Accepted","Melastomataceae","Siphanthera","","cordata","","","Pohl ex DC.","tro-50286904","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphanthera cordifolia","Siphanthera","","cordifolia",NA,NA,"","","tro-20300235",TRUE,"1.1","Accepted","Melastomataceae","Siphanthera","","cordifolia","","","(Benth.) Gleason","tro-20300235","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphanthera dawsonii","Siphanthera","","dawsonii",NA,NA,"","","tro-50296438",TRUE,"1.1","Accepted","Melastomataceae","Siphanthera","","dawsonii","","","Wurdack","tro-50296438","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphanthera fasciculata","Siphanthera","","fasciculata",NA,NA,"","","tro-50146112",TRUE,"1.1","Accepted","Melastomataceae","Siphanthera","","fasciculata","","","(Gleason) Almeda & O.R. Robinson","tro-50146112","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphanthera foliosa","Siphanthera","","foliosa",NA,NA,"","","tro-50172718",TRUE,"1.1","Accepted","Melastomataceae","Siphanthera","","foliosa","","","(Naudin) Wurdack","tro-50172718","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphanthera gracillima","Siphanthera","","gracillima",NA,NA,"","","tro-100363654",TRUE,"1.1","Accepted","Melastomataceae","Siphanthera","","gracillima","","","(Naudin) Wurdack","tro-100363654","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphanthera hostmannii","Siphanthera","","hostmannii",NA,NA,"","","tro-20300236",TRUE,"1.1","Accepted","Melastomataceae","Siphanthera","","hostmannii","","","Cogn.","tro-20300236","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphanthera paludosa","Siphanthera","","paludosa",NA,NA,"","","tro-50309836",TRUE,"1.1","Accepted","Melastomataceae","Siphanthera","","paludosa","","","(DC.) Cogn.","tro-50309836","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphanthera subtilis","Siphanthera","","subtilis",NA,NA,"","","tro-50149954",TRUE,"1.1","Accepted","Melastomataceae","Siphanthera","","subtilis","","","Pohl ex DC.","tro-50149954","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus actinothrix","Siphocampylus","","actinothrix",NA,NA,"","","kew-356613",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","actinothrix","","","E.Wimm.","kew-356613","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus affinis","Siphocampylus","","affinis",NA,NA,"","","kew-356599",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","affinis","","","(Mirb.) McVaugh","kew-356599","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus ambivalens","Siphocampylus","","ambivalens",NA,NA,"","","kew-356537",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","ambivalens","","","Lammers","kew-356537","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus andinus","Siphocampylus","","andinus",NA,NA,"","","kew-357888",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","andinus","","","Britton","kew-357888","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus angustiflorus","Siphocampylus","","angustiflorus",NA,NA,"","","kew-356550",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","angustiflorus","","","Schltr. & Zahlbr.","kew-356550","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus antioquianus","Siphocampylus","","antioquianus",NA,NA,"","","kew-356579",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","antioquianus","","","E.Wimm.","kew-356579","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus asplundii","Siphocampylus","","asplundii",NA,NA,"","","kew-356443",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","asplundii","","","Jeppesen","kew-356443","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus aureus","Siphocampylus","","aureus",NA,NA,"","","kew-356586",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","aureus","","","Rusby","kew-356586","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus ayersiae","Siphocampylus","","ayersiae",NA,NA,"","","kew-356543",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","ayersiae","","","Lammers","kew-356543","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus betulifolius","Siphocampylus","","betulifolius",NA,NA,"","","kew-356577",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","betulifolius","","","(Cham.) G.Don","kew-356577","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus bilabiatus","Siphocampylus","","bilabiatus",NA,NA,"","","kew-356574",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","bilabiatus","","","Zahlbr.","kew-356574","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus boliviensis","Siphocampylus","","boliviensis",NA,NA,"","","kew-356615",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","boliviensis","","","Zahlbr.","kew-356615","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus brevicalyx","Siphocampylus","","brevicalyx",NA,NA,"","","kew-356699",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","brevicalyx","","","E.Wimm.","kew-356699","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus chloroleucus","Siphocampylus","","chloroleucus",NA,NA,"","","kew-356712",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","chloroleucus","","","E.Wimm.","kew-356712","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus citrinus","Siphocampylus","","citrinus",NA,NA,"","","kew-356720",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","citrinus","","","E.Wimm.","kew-356720","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus clotho","Siphocampylus","","clotho",NA,NA,"","","kew-356718",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","clotho","","","E.Wimm.","kew-356718","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus convolvulaceus","Siphocampylus","","convolvulaceus",NA,NA,"","","kew-356703",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","convolvulaceus","","","(Cham.) G.Don","kew-356703","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus correoides","Siphocampylus","","correoides",NA,NA,"","","kew-356708",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","correoides","","","Zahlbr.","kew-356708","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus corymbifer","Siphocampylus","","corymbifer",NA,NA,"","","kew-356707",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","corymbiferus","","","Pohl","kew-356707","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Siphocampylus corynoides","Siphocampylus","","corynoides",NA,NA,"","","kew-356704",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","corynoides","","","E.Wimm.","kew-356704","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus decumbens","Siphocampylus","","decumbens",NA,NA,"","","kew-356652",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","decumbens","","","(Rich. ex Schult.) Juss. ex A.DC.","kew-356652","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus dependens","Siphocampylus","","dependens",NA,NA,"","","kew-356659",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","dependens","","","G.Don","kew-356659","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus domingensis","Siphocampylus","","domingensis",NA,NA,"","","kew-356668",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","domingensis","","","A.DC.","kew-356668","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus ecuadorensis","Siphocampylus","","ecuadorensis",NA,NA,"","","kew-356664",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","ecuadorensis","","","E.Wimm.","kew-356664","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus elfriedii","Siphocampylus","","elfriedii",NA,NA,"","","kew-356681",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","elfriedii","","","E.Wimm.","kew-356681","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus fiebrigii","Siphocampylus","","fiebrigii",NA,NA,"","","kew-356678",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","fiebrigii","","","E.Wimm.","kew-356678","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus flagelliformis","Siphocampylus","","flagelliformis",NA,NA,"","","kew-356647",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","flagelliformis","","","Zahlbr.","kew-356647","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus fulgens","Siphocampylus","","fulgens",NA,NA,"","","kew-356646",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","fulgens","","","Lebas","kew-356646","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus giganteus","Siphocampylus","","giganteus",NA,NA,"","","kew-356562",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","giganteus","","","(Cav.) G.Don","kew-356562","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus igneus","Siphocampylus","","igneus",NA,NA,"","","kew-356634",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","igneus","","","Urb.","kew-356634","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus imbricatus","Siphocampylus","","imbricatus",NA,NA,"","","kew-356625",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","imbricatus","","","(Cham.) G.Don","kew-356625","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus jelskii","Siphocampylus","","jelskii",NA,NA,"","","kew-356596",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","jelskii","","","Zahlbr.","kew-356596","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus krauseanus","Siphocampylus","","krauseanus",NA,NA,"","","kew-356598",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","krauseanus","","","E.Wimm.","kew-356598","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Siphocampylus longepedunculatus","Siphocampylus","","longepedunculatus",NA,NA,"","","kew-356863",TRUE,"1.1","Accepted","Campanulaceae","Siphocampylus","","longipedunculatus","","","Pohl","kew-356863","Accepted",TRUE,FALSE,FALSE,2017-05-11
