"Sporobolus acuminatus","Sporobolus","","acuminatus",NA,NA,"","","kew-443994",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","acuminatus","","","(Trin.) Hack.","kew-443994","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus advenus","Sporobolus","","advenus",NA,NA,"","","kew-444282",TRUE,"1.1","Synonym","Poaceae","Sporobolus","","coromandelianus","","","(Retz.) Kunth","kew-444130","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Sporobolus aeneus","Sporobolus","","aeneus",NA,NA,"","","kew-443996",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","aeneus","","","(Trin.) Kunth","kew-443996","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus africanus","Sporobolus","","africanus",NA,NA,"","","kew-444004",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","africanus","","","(Poir.) Robyns & Tournay","kew-444004","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus agrostoides","Sporobolus","","agrostoides",NA,NA,"","","kew-444005",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","agrostoides","","","Chiov.","kew-444005","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus airoides","Sporobolus","","airoides",NA,NA,"","","kew-444008",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","airoides","","","(Torr.) Torr.","kew-444008","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus albicans","Sporobolus","","albicans",NA,NA,"","","kew-444013",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","albicans","","","(Nees ex Trin.) Nees","kew-444013","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus aldabrensis","Sporobolus","","aldabrensis",NA,NA,"","","kew-444015",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","aldabrensis","","","Renvoize","kew-444015","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus alopecuroides","Sporobolus","","alopecuroides",NA,NA,"","","",FALSE,"1.1","","","Sporobolus","","alopecuroides",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus alterniflorus","Sporobolus","","alterniflorus",NA,NA,"","","",FALSE,"1.1","","","Sporobolus","","alterniflorus",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus anglicus","Sporobolus","","anglicus",NA,NA,"","","",FALSE,"1.1","","","Sporobolus","","anglicus",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus apiculatus","Sporobolus","","apiculatus",NA,NA,"","","kew-444026",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","apiculatus","","","Boechat & Longhi-Wagner","kew-444026","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus arabicus","Sporobolus","","arabicus",NA,NA,"","","kew-444027",TRUE,"1.1","Synonym","Poaceae","Sporobolus","","ioclados","","","(Trin.) Nees","kew-444277","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus arcuatus","Sporobolus","","arcuatus",NA,NA,"","","kew-444032",TRUE,"1.1","Synonym","Poaceae","Sporobolus","","pyramidatus","","","(Lam.) C.L.Hitchc.","kew-444423","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Sporobolus atrovirens","Sporobolus","","atrovirens",NA,NA,"","","kew-444053",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","atrovirens","","","(Kunth) Kunth","kew-444053","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus bakeri","Sporobolus","","bakeri",NA,NA,"","","kew-444070",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","blakei","","","B.K.Simon","kew-444070","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Sporobolus berteroanus","Sporobolus","","berteroanus",NA,NA,"","","kew-444067",TRUE,"1.1","Synonym","Poaceae","Sporobolus","","indicus","","","(L.) R.Br.","kew-444243","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus blakei","Sporobolus","","blakei",NA,NA,"","","kew-444070",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","blakei","","","B.K.Simon","kew-444070","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Sporobolus bogotensis","Sporobolus","","bogotensis",NA,NA,"","","kew-444073",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","bogotensis","","","Swallen & Garc.-Barr.","kew-444073","Accepted",FALSE,FALSE,FALSE,2017-05-11
