"Stenocereus eruca","Stenocereus","","eruca",NA,NA,"","","tro-50181356",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","eruca","","","(Brandegee) A.C. Gibson & K.E. Horak","tro-50181356","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus fricii","Stenocereus","","fricii",NA,NA,"","","tro-50181357",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","fricii","","","Sánchez-Mej.","tro-50181357","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus griseus","Stenocereus","","griseus",NA,NA,"","","kew-2485925",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","griseus","","","(Haw.) Buxb.","kew-2485925","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus gummosus","Stenocereus","","gummosus",NA,NA,"","","tro-50181358",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","gummosus","","","(Engelm.) A. Gibson & K.E. Horak","tro-50181358","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus kerberi","Stenocereus","","kerberi",NA,NA,"","","tro-50181359",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","kerberi","","","(K. Schum.) A.C. Gibson & K.E. Horak","tro-50181359","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus martinezii","Stenocereus","","martinezii",NA,NA,"","","tro-50181360",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","martinezii","","","(González Ortega, Jesús) Buxb.","tro-50181360","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus montanus","Stenocereus","","montanus",NA,NA,"","","tro-50181363",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","montanus","","","(Britton & Rose) Buxb.","tro-50181363","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus peruvianus","Stenocereus","","peruvianus",NA,NA,"","","kew-2486094",TRUE,"1.1","Unresolved","Cactaceae","Stenocereus","","peruvianus","","","(Mill.) R.Kiesling","kew-2486094","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus pruinosus","Stenocereus","","pruinosus",NA,NA,"","","kew-2486095",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","pruinosus","","","(Otto ex Pfeiff.) Buxb.","kew-2486095","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus queretaroensis","Stenocereus","","queretaroensis",NA,NA,"","","kew-2486758",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","queretaroensis","","","(F.A.C.Weber ex Mathes.) Buxb.","kew-2486758","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus standleyi","Stenocereus","","standleyi",NA,NA,"","","tro-5106779",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","standleyi","","","(González Ortega, Jesús) Buxb.","tro-5106779","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus stellatus","Stenocereus","","stellatus",NA,NA,"","","tro-5107514",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","stellatus","","","(Pfeiff.) Riccob.","tro-5107514","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocereus thurberi","Stenocereus","","thurberi",NA,NA,"","","tro-5100601",TRUE,"1.1","Accepted","Cactaceae","Stenocereus","","thurberi","","","(Engelm.) Buxb.","tro-5100601","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenochlaena milnei","Stenochlaena","","milnei",NA,NA,"","","tro-26610630",TRUE,"1.1","Unresolved","Blechnaceae","Stenochlaena","","milnei","","","Underw.","tro-26610630","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Stenochlaena palustris","Stenochlaena","","palustris",NA,NA,"","","tro-26610182",TRUE,"1.1","Accepted","Blechnaceae","Stenochlaena","","palustris","","","(Burm. f.) Bedd.","tro-26610182","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenochlaena tenuifolia","Stenochlaena","","tenuifolia",NA,NA,"","","tro-26600852",TRUE,"1.1","Accepted","Blechnaceae","Stenochlaena","","tenuifolia","","","(Desv.) Moore","tro-26600852","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocoelium athamantoides","Stenocoelium","","athamantoides",NA,NA,"","","tro-1703265",TRUE,"1.1","Accepted","Apiaceae","Stenocoelium","","athamantoides","","","(M. Bieb.) Ledeb.","tro-1703265","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenocoelium trichocarpum","Stenocoelium","","trichocarpum",NA,NA,"","","tro-1703266",TRUE,"1.1","Accepted","Apiaceae","Stenocoelium","","trichocarpum","","","Schrenk","tro-1703266","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenodesmus tenuicuspis","Stenodesmus","","tenuicuspis",NA,NA,"","","tro-35176577",TRUE,"1.1","Accepted","Daltoniaceae","Stenodesmus","","tenuicuspis","","","(Mitt.) A. Jaeger","tro-35176577","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenodictyon pallidum","Stenodictyon","","pallidum",NA,NA,"","","tro-35176580",TRUE,"1.1","Accepted","Hookeriaceae","Stenodictyon","","pallidum","","","H.A. Crum & Steere","tro-35176580","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenodictyon wrightii","Stenodictyon","","wrightii",NA,NA,"","","tro-35141152",TRUE,"1.1","Accepted","Hookeriaceae","Stenodictyon","","wrightii","","","(Sull. & Lesq.) Crosby","tro-35141152","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenodon suberosus","Stenodon","","suberosus",NA,NA,"","","tro-20301628",TRUE,"1.1","Accepted","Melastomataceae","Stenodon","","suberosus","","","Naudin","tro-20301628","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenodrepanum bergii","Stenodrepanum","","bergii",NA,NA,"","","ild-11789",TRUE,"1.1","Accepted","Leguminosae","Stenodrepanum","","bergii","","","Harms","ild-11789","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenoglottis longifolia","Stenoglottis","","longifolia",NA,NA,"","","kew-197140",TRUE,"1.1","Accepted","Orchidaceae","Stenoglottis","","longifolia","","","Hook.f.","kew-197140","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenoglottis woodii","Stenoglottis","","woodii",NA,NA,"","","kew-197142",TRUE,"1.1","Accepted","Orchidaceae","Stenoglottis","","woodii","","","Schltr.","kew-197142","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogonum salsuginosum","Stenogonum","","salsuginosum",NA,NA,"","","tro-26000941",TRUE,"1.1","Accepted","Polygonaceae","Stenogonum","","salsuginosum","","","Nutt.","tro-26000941","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogrammitis hellwigii","Stenogrammitis","","hellwigii",NA,NA,"","","tro-100369590",TRUE,"1.1","Accepted","Polypodiaceae","Stenogrammitis","","hellwigii","","","(Mickel & Beitel) Labiak","tro-100369590","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogrammitis hildebrandtii","Stenogrammitis","","hildebrandtii",NA,NA,"","","tro-100372534",TRUE,"1.1","Accepted","Polypodiaceae","Stenogrammitis","","hildebrandtii","","","(Hieron.) Labiak","tro-100372534","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogrammitis limula","Stenogrammitis","","limula",NA,NA,"","","tro-100364487",TRUE,"1.1","Accepted","Polypodiaceae","Stenogrammitis","","limula","","","(Christ) Labiak","tro-100364487","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogrammitis myosuroides","Stenogrammitis","","myosuroides",NA,NA,"","","tro-100369589",TRUE,"1.1","Accepted","Polypodiaceae","Stenogrammitis","","myosuroides","","","(Sw.) Labiak","tro-100369589","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogrammitis oosora","Stenogrammitis","","oosora",NA,NA,"","","tro-100372552",TRUE,"1.1","Accepted","Polypodiaceae","Stenogrammitis","","oosora","","","(Baker) Labiak","tro-100372552","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogrammitis prionodes","Stenogrammitis","","prionodes",NA,NA,"","","tro-100364442",TRUE,"1.1","Accepted","Polypodiaceae","Stenogrammitis","","prionodes","","","(Mickel & Beitel) Labiak","tro-100364442","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogrammitis pumila","Stenogrammitis","","pumila",NA,NA,"","","tro-100372555",TRUE,"1.1","Accepted","Polypodiaceae","Stenogrammitis","","pumila","","","(Labiak) Labiak","tro-100372555","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogrammitis saffordii","Stenogrammitis","","saffordii",NA,NA,"","","tro-100372558",TRUE,"1.1","Accepted","Polypodiaceae","Stenogrammitis","","saffordii","","","(Maxon) Labiak","tro-100372558","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogrammitis subcoriacea","Stenogrammitis","","subcoriacea",NA,NA,"","","tro-100372560",TRUE,"1.1","Accepted","Polypodiaceae","Stenogrammitis","","subcoriacea","","","(Copel.) Labiak","tro-100372560","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogrammitis wittigiana","Stenogrammitis","","wittigiana",NA,NA,"","","tro-100372564",TRUE,"1.1","Accepted","Polypodiaceae","Stenogrammitis","","wittigiana","","","(Fée & Glaz. ex Fée) Labiak","tro-100372564","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogyne angustifolia","Stenogyne","","angustifolia",NA,NA,"","","kew-197155",TRUE,"1.1","Accepted","Lamiaceae","Stenogyne","","angustifolia","","","A.Gray","kew-197155","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogyne bifida","Stenogyne","","bifida",NA,NA,"","","kew-197161",TRUE,"1.1","Accepted","Lamiaceae","Stenogyne","","bifida","","","Hillebr.","kew-197161","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogyne calaminthoides","Stenogyne","","calaminthoides",NA,NA,"","","kew-197164",TRUE,"1.1","Accepted","Lamiaceae","Stenogyne","","calaminthoides","","","A.Gray","kew-197164","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogyne calycosa","Stenogyne","","calycosa",NA,NA,"","","kew-197169",TRUE,"1.1","Accepted","Lamiaceae","Stenogyne","","calycosa","","","Sherff","kew-197169","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogyne campanulata","Stenogyne","","campanulata",NA,NA,"","","kew-197170",TRUE,"1.1","Accepted","Lamiaceae","Stenogyne","","campanulata","","","Weller & Sakai","kew-197170","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogyne cranwelliae","Stenogyne","","cranwelliae",NA,NA,"","","kew-197176",TRUE,"1.1","Accepted","Lamiaceae","Stenogyne","","cranwelliae","","","Sherff","kew-197176","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogyne haliakalae","Stenogyne","","haliakalae",NA,NA,"","","kew-197196",TRUE,"1.1","Accepted","Lamiaceae","Stenogyne","","haliakalae","","","Wawra","kew-197196","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogyne kaalae","Stenogyne","","kaalae",NA,NA,"","","kew-197206",TRUE,"1.1","Accepted","Lamiaceae","Stenogyne","","kaalae","","","Wawra","kew-197206","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogyne kamehamehae","Stenogyne","","kamehamehae",NA,NA,"","","kew-197213",TRUE,"1.1","Accepted","Lamiaceae","Stenogyne","","kamehamehae","","","Wawra","kew-197213","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Stenogyne kanehoana","Stenogyne","","kanehoana",NA,NA,"","","kew-197216",TRUE,"1.1","Accepted","Lamiaceae","Stenogyne","","kanehoana","","","O.Deg. & Sherff","kew-197216","Accepted",FALSE,FALSE,FALSE,2017-05-11
