"Symbiezidium barbiflorum","Symbiezidium","","barbiflorum",NA,NA,"","","tro-35187434",TRUE,"1.1","Accepted","Lejeuneaceae","Symbiezidium","","barbiflorum","","","(Lindenb. & Gottsche) A. Evans","tro-35187434","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Symbiezidium dentatum","Symbiezidium","","dentatum",NA,NA,"","","tro-35201906",TRUE,"1.1","Accepted","Lejeuneaceae","Symbiezidium","","dentatum","","","Herzog","tro-35201906","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Symbiezidium transversale","Symbiezidium","","transversale",NA,NA,"","","tro-35187856",TRUE,"1.1","Accepted","Lejeuneaceae","Symbiezidium","","transversale","","","(Sw.) Trevis.","tro-35187856","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Symblepharis lindigii","Symblepharis","","lindigii",NA,NA,"","","tro-35177580",TRUE,"1.1","Accepted","Dicranaceae","Symblepharis","","lindigii","","","Hampe","tro-35177580","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Symblepharis vaginata","Symblepharis","","vaginata",NA,NA,"","","tro-35177601",TRUE,"1.1","Accepted","Dicranaceae","Symblepharis","","vaginata","","","(Hook. ex Harv.) Wijk & Margad.","tro-35177601","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Symbolanthus argyreus","Symbolanthus","","argyreus",NA,NA,"","","tro-50268868",TRUE,"1.1","Synonym","Gentianaceae","Wurdackanthus","","argyreus","","","Maguire","kew-2466487","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Symbolanthus australis","Symbolanthus","","australis",NA,NA,"","","tro-50242778",TRUE,"1.1","Accepted","Gentianaceae","Symbolanthus","","australis","","","Struwe","tro-50242778","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Symbolanthus brittonianus","Symbolanthus","","brittonianus",NA,NA,"","","tro-13800667",TRUE,"1.1","Accepted","Gentianaceae","Symbolanthus","","brittonianus","","","Gilg","tro-13800667","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Symbolanthus calygonus","Symbolanthus","","calygonus",NA,NA,"","","tro-13800408",TRUE,"1.1","Synonym","Gentianaceae","Symbolanthus","","elisabethae","","","(M.R.Schomb.) Gilg","kew-2588944","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Symbolanthus frigidus","Symbolanthus","","frigidus",NA,NA,"","","tro-50268869",TRUE,"1.1","Accepted","Gentianaceae","Symbolanthus","","frigidus","","","(Sw.) Struwe & K.R. Gould","tro-50268869","Accepted",FALSE,FALSE,FALSE,2017-05-11
