"Tabernaemontana persicariifolia","Tabernaemontana","","persicariifolia",NA,NA,"","","kew-200876",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","persicariifolia","","","Jacq.","kew-200876","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana phymata","Tabernaemontana","","phymata",NA,NA,"","","kew-200878",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","phymata","","","Leeuwenb.","kew-200878","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana psorocarpa","Tabernaemontana","","psorocarpa",NA,NA,"","","kew-200890",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","psorocarpa","","","(Pierre ex Stapf) Pichon","kew-200890","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana retusa","Tabernaemontana","","retusa",NA,NA,"","","kew-200905",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","retusa","","","(Lam.) Pichon","kew-200905","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana rupicola","Tabernaemontana","","rupicola",NA,NA,"","","kew-200916",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","rupicola","","","Benth.","kew-200916","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana salzmannii","Tabernaemontana","","salzmannii",NA,NA,"","","kew-200923",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","salzmannii","","","A.DC.","kew-200923","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana sambiranensis","Tabernaemontana","","sambiranensis",NA,NA,"","","kew-200926",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","sambiranensis","","","Pichon","kew-200926","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana sananho","Tabernaemontana","","sananho",NA,NA,"","","kew-200927",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","sananho","","","Ruiz & Pav.","kew-200927","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana sessilifolia","Tabernaemontana","","sessilifolia",NA,NA,"","","kew-200930",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","sessilifolia","","","Baker","kew-200930","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana simulans","Tabernaemontana","","simulans",NA,NA,"","","kew-461107",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","simulans","","","(J.F.Morales & Q.Jiménez) A.O.Simões & M.E.Endress","kew-461107","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana siphilitica","Tabernaemontana","","siphilitica",NA,NA,"","","kew-200934",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","siphilitica","","","(L.f.) Leeuwenb.","kew-200934","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana solanifolia","Tabernaemontana","","solanifolia",NA,NA,"","","kew-200936",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","solanifolia","","","A.DC.","kew-200936","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana sphaerocarpa","Tabernaemontana","","sphaerocarpa",NA,NA,"","","kew-200938",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","sphaerocarpa","","","Blume","kew-200938","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana stellata","Tabernaemontana","","stellata",NA,NA,"","","kew-200944",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","stellata","","","Pichon","kew-200944","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana undulata","Tabernaemontana","","undulata",NA,NA,"","","kew-200973",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","undulata","","","Vahl","kew-200973","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana vanheurckii","Tabernaemontana","","vanheurckii",NA,NA,"","","kew-200977",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","vanheurckii","","","Müll.Arg.","kew-200977","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernaemontana ventricosa","Tabernaemontana","","ventricosa",NA,NA,"","","kew-200978",TRUE,"1.1","Accepted","Apocynaceae","Tabernaemontana","","ventricosa","","","Hochst. ex A.DC.","kew-200978","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tabernanthe iboga","Tabernanthe","","iboga",NA,NA,"","","kew-200996",TRUE,"1.1","Accepted","Apocynaceae","Tabernanthe","","iboga","","","Baill.","kew-200996","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tacarcuna amanoifolia","Tacarcuna","","amanoifolia",NA,NA,"","","kew-201002",TRUE,"1.1","Accepted","Phyllanthaceae","Tacarcuna","","amanoifolia","","","Huft","kew-201002","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tacazzea apiculata","Tacazzea","","apiculata",NA,NA,"","","kew-2438221",TRUE,"1.1","Accepted","Apocynaceae","Tacazzea","","apiculata","","","Oliv.","kew-2438221","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tacca ampliplacenta","Tacca","","ampliplacenta",NA,NA,"","","kew-374350",TRUE,"1.1","Accepted","Dioscoreaceae","Tacca","","ampliplacenta","","","L.Zhang & Q.J.Li","kew-374350","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tacca artocarpifolia","Tacca","","artocarpifolia",NA,NA,"","","kew-267825",TRUE,"1.1","Synonym","Dioscoreaceae","Tacca","","leontopetaloides","","","(L.) Kuntze","kew-267851","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tacca chantrieri","Tacca","","chantrieri",NA,NA,"","","kew-267832",TRUE,"1.1","Accepted","Dioscoreaceae","Tacca","","chantrieri","","","André","kew-267832","Accepted",FALSE,FALSE,FALSE,2017-05-11
