"Tillandsia extensa","Tillandsia","","extensa",NA,NA,"","","kew-268969",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","extensa","","","Mez","kew-268969","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia fasciculata","Tillandsia","","fasciculata",NA,NA,"","","kew-268971",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","fasciculata","","","Sw.","kew-268971","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia fendleri","Tillandsia","","fendleri",NA,NA,"","","kew-268991",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","fendleri","","","Griseb.","kew-268991","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia ferreyrae","Tillandsia","","ferreyrae",NA,NA,"","","kew-268996",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","ferreyrae","","","L.B.Sm.","kew-268996","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia festucoides","Tillandsia","","festucoides",NA,NA,"","","kew-268999",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","festucoides","","","Brongn. ex Mez","kew-268999","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia filifolia","Tillandsia","","filifolia",NA,NA,"","","kew-269000",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","filifolia","","","Schltdl. & Cham.","kew-269000","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia flabellata","Tillandsia","","flabellata",NA,NA,"","","kew-269003",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","flabellata","","","Baker","kew-269003","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia flexuosa","Tillandsia","","flexuosa",NA,NA,"","","kew-269010",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","flexuosa","","","Sw.","kew-269010","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia floribunda","Tillandsia","","floribunda",NA,NA,"","","kew-269015",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","floribunda","","","Kunth","kew-269015","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia fresnilloensis","Tillandsia","","fresnilloensis",NA,NA,"","","kew-269025",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","fresnilloensis","","","W.Weber & Ehlers","kew-269025","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia fuchsii","Tillandsia","","fuchsii",NA,NA,"","","kew-269027",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","fuchsii","","","W.Till","kew-269027","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia funckiana","Tillandsia","","funckiana",NA,NA,"","","kew-269032",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","funckiana","","","Baker","kew-269032","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia funebris","Tillandsia","","funebris",NA,NA,"","","kew-269035",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","funebris","","","A.Cast.","kew-269035","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia gardneri","Tillandsia","","gardneri",NA,NA,"","","kew-269039",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","gardneri","","","Lindl.","kew-269039","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia geminiflora","Tillandsia","","geminiflora",NA,NA,"","","kew-269045",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","geminiflora","","","Brongn.","kew-269045","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia guatemalensis","Tillandsia","","guatemalensis",NA,NA,"","","kew-269088",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","guatemalensis","","","L.B.Sm.","kew-269088","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia gymnobotrya","Tillandsia","","gymnobotrya",NA,NA,"","","kew-269095",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","gymnobotrya","","","Baker","kew-269095","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia heliconioides","Tillandsia","","heliconioides",NA,NA,"","","kew-269108",TRUE,"1.1","Synonym","Bromeliaceae","Vriesea","","heliconioides","","","(Kunth) Hook. ex Walp.","kew-271866","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia heteromorpha","Tillandsia","","heteromorpha",NA,NA,"","","kew-269115",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","heteromorpha","","","Mez","kew-269115","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia heterophylla","Tillandsia","","heterophylla",NA,NA,"","","kew-269116",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","heterophylla","","","E.Morren","kew-269116","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia heubergeri","Tillandsia","","heubergeri",NA,NA,"","","kew-269118",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","heubergeri","","","Ehlers","kew-269118","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia hildae","Tillandsia","","hildae",NA,NA,"","","kew-269123",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","hildae","","","Rauh","kew-269123","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Tillandsia huamelulaensis","Tillandsia","","huamelulaensis",NA,NA,"","","kew-344948",TRUE,"1.1","Accepted","Bromeliaceae","Tillandsia","","huamelulaensis","","","Ehlers","kew-344948","Accepted",FALSE,FALSE,FALSE,2017-05-11
