"Trifolium rytidosemium","Trifolium","","rytidosemium",NA,NA,"","","ild-47266",TRUE,"1.1","Synonym","Leguminosae","Trifolium","","badium","","","Schreb.","ild-9010","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Trifolium salmoneum","Trifolium","","salmoneum",NA,NA,"","","ild-32689",TRUE,"1.1","Accepted","Leguminosae","Trifolium","","salmoneum","","","Mouterde","ild-32689","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Trifolium scabrum","Trifolium","","scabrum",NA,NA,"","","ild-8143",TRUE,"1.1","Accepted","Leguminosae","Trifolium","","scabrum","","","L.","ild-8143","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Trifolium schimperi","Trifolium","","schimperi",NA,NA,"","","ild-8144",TRUE,"1.1","Accepted","Leguminosae","Trifolium","","schimperi","","","A.Rich.","ild-8144","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Trifolium scutatum","Trifolium","","scutatum",NA,NA,"","","ild-8145",TRUE,"1.1","Accepted","Leguminosae","Trifolium","","scutatum","","","Boiss.","ild-8145","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Trifolium semipilosum","Trifolium","","semipilosum",NA,NA,"","","ild-8146",TRUE,"1.1","Accepted","Leguminosae","Trifolium","","semipilosum","","","Fresen.","ild-8146","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Trifolium setiferum","Trifolium","","setiferum",NA,NA,"","","ild-9937",TRUE,"1.1","Accepted","Leguminosae","Trifolium","","setiferum","","","Boiss.","ild-9937","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Trifolium simense","Trifolium","","simense",NA,NA,"","","ild-8149",TRUE,"1.1","Accepted","Leguminosae","Trifolium","","simense","","","Fresen.","ild-8149","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Trifolium sintenisii","Trifolium","","sintenisii",NA,NA,"","","ild-47272",TRUE,"1.1","Accepted","Leguminosae","Trifolium","","sintenisii","","","Freyn","ild-47272","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Trifolium somalense","Trifolium","","somalense",NA,NA,"","","ild-8151",TRUE,"1.1","Accepted","Leguminosae","Trifolium","","somalense","","","Taub.","ild-8151","Accepted",FALSE,FALSE,FALSE,2017-05-11
