"Vincetoxicum katoi","Vincetoxicum","","katoi",NA,NA,"","","tro-2608480",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","katoi","","","(Ohwi) Kitag.","tro-2608480","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum linifolium","Vincetoxicum","","linifolium",NA,NA,"","","tro-2602809",TRUE,"1.1","Synonym","Apocynaceae","Cynanchum","","linifolium","","","(Balf.f.) Bullock ex G.B.Popov","kew-2751253","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum macrophyllum","Vincetoxicum","","macrophyllum",NA,NA,"","","kew-2455542",TRUE,"1.1","Unresolved","Apocynaceae","Vincetoxicum","","macrophyllum","","","Siebold & Zucc.","kew-2455542","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum maeoticum","Vincetoxicum","","maeoticum",NA,NA,"","","tro-2610479",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","maeoticum","","","Barbar.","tro-2610479","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum magnificum","Vincetoxicum","","magnificum",NA,NA,"","","tro-2608483",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","magnificum","","","(Nakai) Kitag.","tro-2608483","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum mongolicum","Vincetoxicum","","mongolicum",NA,NA,"","","tro-2602823",TRUE,"1.1","Synonym","Apocynaceae","Cynanchum","","mongolicum","","","(Maxim.) Kom.","tro-2610852","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum mozaffarianii","Vincetoxicum","","mozaffarianii",NA,NA,"","","kew-2455449",TRUE,"1.1","Unresolved","Apocynaceae","Vincetoxicum","","mozaffarianii","","","Zaeifi","kew-2455449","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum nigrum","Vincetoxicum","","nigrum",NA,NA,"","","kew-2455478",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","nigrum","","","(L.) Moench","kew-2455478","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum nipponicum","Vincetoxicum","","nipponicum",NA,NA,"","","kew-2455472",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","nipponicum","","","(Matsum.) Kitag.","kew-2455472","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum ovatum","Vincetoxicum","","ovatum",NA,NA,"","","kew-2455460",TRUE,"1.1","Unresolved","Apocynaceae","Vincetoxicum","","ovatum","","","Benth.","kew-2455460","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum pumilum","Vincetoxicum","","pumilum",NA,NA,"","","tro-2602840",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","pumilum","","","Decne.","tro-2602840","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum pycnostelma","Vincetoxicum","","pycnostelma",NA,NA,"","","kew-2455628",TRUE,"1.1","Unresolved","Apocynaceae","Vincetoxicum","","pycnostelma","","","Kitag.","kew-2455628","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum rehmannii","Vincetoxicum","","rehmannii",NA,NA,"","","tro-2602844",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","rehmanni","","","Boiss.","tro-2602844","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Vincetoxicum rossicum","Vincetoxicum","","rossicum",NA,NA,"","","kew-2898438",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","rossicum","","","(Kleopow) Barbar.","kew-2898438","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum sakesarense","Vincetoxicum","","sakesarense",NA,NA,"","","tro-2608070",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","sakesarense","","","Ali & Khatoon","tro-2608070","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum scandens","Vincetoxicum","","scandens",NA,NA,"","","kew-2455676",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","scandens","","","Sommier & Levier","kew-2455676","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum schmalhausenii","Vincetoxicum","","schmalhausenii",NA,NA,"","","kew-2455678",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","schmalhausenii","","","(Kusn.) Litv.","kew-2455678","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum stocksii","Vincetoxicum","","stocksii",NA,NA,"","","tro-2608071",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","stocksii","","","Ali & Khatoon","tro-2608071","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum sublanceolatum","Vincetoxicum","","sublanceolatum",NA,NA,"","","tro-2602855",TRUE,"1.1","Synonym","Apocynaceae","Cynanchum","","sublanceolatum","","","(Miq.) Matsum.","kew-2751595","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum tauricum","Vincetoxicum","","tauricum",NA,NA,"","","kew-2455553",TRUE,"1.1","Synonym","Apocynaceae","Vincetoxicum","","hirundinaria","subsp.","jailicola","(Juz.) Markgr.","kew-2456865","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum tmoleum","Vincetoxicum","","tmoleum",NA,NA,"","","tro-2602858",TRUE,"1.1","Synonym","Apocynaceae","Antitoxicum","","tmoleum","","","(Boiss.) Pobed.","kew-220537","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum versicolor","Vincetoxicum","","versicolor",NA,NA,"","","kew-2457123",TRUE,"1.1","Synonym","Apocynaceae","Cynanchum","","versicolor","","","Bunge","kew-2751677","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum volubile","Vincetoxicum","","volubile",NA,NA,"","","tro-2602863",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","volubile","","","Maxim.","tro-2602863","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum yamanakae","Vincetoxicum","","yamanakae",NA,NA,"","","tro-100374218",TRUE,"1.1","Accepted","Apocynaceae","Vincetoxicum","","yamanakae","","","(Ohwi & H. Ohashi) H. Ohashi","tro-100374218","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Vincetoxicum yonakuniense","Vincetoxicum","","yonakuniense",NA,NA,"","","kew-2455606",TRUE,"1.1","Unresolved","Apocynaceae","Vincetoxicum","","yonakuniense","","","(Hatus.) T.Yamash. & Tateishi","kew-2455606","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Viola abyssinica","Viola","","abyssinica",NA,NA,"","","tro-33800261",TRUE,"1.1","Accepted","Violaceae","Viola","","abyssinica","","","Steud. ex Oliv.","tro-33800261","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola acuminata","Viola","","acuminata",NA,NA,"","","tro-33800002",TRUE,"1.1","Accepted","Violaceae","Viola","","acuminata","","","Ledeb.","tro-33800002","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola acutifolia","Viola","","acutifolia",NA,NA,"","","tro-33800949",TRUE,"1.1","Accepted","Violaceae","Viola","","acutifolia","","","(Kar. & Kir.) W. Becker","tro-33800949","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola adunca","Viola","","adunca",NA,NA,"","","tro-33800003",TRUE,"1.1","Accepted","Violaceae","Viola","","adunca","","","Sm.","tro-33800003","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola aetolica","Viola","","aetolica",NA,NA,"","","kew-2463488",TRUE,"1.1","Accepted","Violaceae","Viola","","aetolica","","","Boiss. & Heldr.","kew-2463488","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola affinis","Viola","","affinis",NA,NA,"","","tro-33800358",TRUE,"1.1","Synonym","Violaceae","Viola","","sororia","var.","missouriensis","(Greene) L.E. McKinney","tro-50176323","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola alba","Viola","","alba",NA,NA,"","","kew-2463476",TRUE,"1.1","Accepted","Violaceae","Viola","","alba","","","Besser","kew-2463476","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola albanica","Viola","","albanica",NA,NA,"","","kew-2463424",TRUE,"1.1","Unresolved","Violaceae","Viola","","albanica","","","Halácsy","kew-2463424","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Viola albida","Viola","","albida",NA,NA,"","","tro-33800051",TRUE,"1.1","Accepted","Violaceae","Viola","","albida","","","Palib.","tro-33800051","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola altaica","Viola","","altaica",NA,NA,"","","kew-2463436",TRUE,"1.1","Accepted","Violaceae","Viola","","altaica","","","Ker Gawl.","kew-2463436","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola amamiana","Viola","","amamiana",NA,NA,"","","kew-2463435",TRUE,"1.1","Unresolved","Violaceae","Viola","","amamiana","","","Hatus.","kew-2463435","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Viola arborescens","Viola","","arborescens",NA,NA,"","","kew-2463935",TRUE,"1.1","Accepted","Violaceae","Viola","","arborescens","","","L.","kew-2463935","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola arcuata","Viola","","arcuata",NA,NA,"","","tro-33801581",TRUE,"1.1","Accepted","Violaceae","Viola","","arcuata","","","Blume","tro-33801581","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola argenteria","Viola","","argenteria",NA,NA,"","","kew-2463928",TRUE,"1.1","Unresolved","Violaceae","Viola","","argenteria","","","Moraldo & Forneris","kew-2463928","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Viola arguta","Viola","","arguta",NA,NA,"","","tro-50073572",TRUE,"1.1","Accepted","Violaceae","Viola","","arguta","","","Willd. ex Roem. & Schult.","tro-50073572","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola arvensis","Viola","","arvensis",NA,NA,"","","kew-2464083",TRUE,"1.1","Accepted","Violaceae","Viola","","arvensis","","","Murray","kew-2464083","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Viola atroviolacea","Viola","","atroviolacea",NA,NA,"","","tro-33800960",TRUE,"1.1","Synonym","Violaceae","Viola","","disjuncta","","","W.Becker","kew-2460152","Accepted",FALSE,FALSE,FALSE,2017-05-11
