"Weissia controversa","Weissia","","controversa",NA,NA,"","","tro-35127627",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","controversa","","","Hedw.","tro-35127627","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia exserta","Weissia","","exserta",NA,NA,"","","tro-35127730",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","exserta","","","(Broth.) P.C. Chen","tro-35127730","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia hedwigii","Weissia","","hedwigii",NA,NA,"","","tro-35169110",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","hedwigii","","","H.A. Crum","tro-35169110","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia jamaicensis","Weissia","","jamaicensis",NA,NA,"","","tro-35127793",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","jamaicensis","","","(Mitt.) Grout","tro-35127793","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia latiuscula","Weissia","","latiuscula",NA,NA,"","","tro-35127808",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","latiuscula","","","Müll. Hal.","tro-35127808","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia levieri","Weissia","","levieri",NA,NA,"","","tro-35127818",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","levieri","","","(Limpr.) Kindb.","tro-35127818","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia ligulifolia","Weissia","","ligulifolia",NA,NA,"","","tro-35127819",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","ligulaefolia","","","(E.B. Bartram) Grout","tro-35127819","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Weissia longidens","Weissia","","longidens",NA,NA,"","","tro-35127830",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","longidens","","","Cardot","tro-35127830","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia longifolia","Weissia","","longifolia",NA,NA,"","","tro-35127833",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","longifolia","","","Mitt.","tro-35127833","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia ludoviciana","Weissia","","ludoviciana",NA,NA,"","","tro-35168433",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","ludoviciana","","","(Sull.) W.D. Reese & B.A.E. Lemmon","tro-35168433","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia muhlenbergiana","Weissia","","muhlenbergiana",NA,NA,"","","tro-35168434",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","muhlenbergiana","","","(Sw.) W.D. Reese & B.A.E. Lemmon","tro-35168434","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia multicapsularis","Weissia","","multicapsularis",NA,NA,"","","tro-35127882",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","multicapsularis","","","(Sm.) Mitt.","tro-35127882","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia newcomeri","Weissia","","newcomeri",NA,NA,"","","tro-35100302",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","newcomeri","","","(E.B. Bartram) K. Saito","tro-35100302","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia perssonii","Weissia","","perssonii",NA,NA,"","","tro-35127930",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","perssonii","","","Kindb.","tro-35127930","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia rostellata","Weissia","","rostellata",NA,NA,"","","tro-35127978",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","rostellata","","","(Brid.) Lindb.","tro-35127978","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia rutilans","Weissia","","rutilans",NA,NA,"","","tro-35127991",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","rutilans","","","(Hedw.) Lindb.","tro-35127991","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia sharpii","Weissia","","sharpii",NA,NA,"","","tro-35169570",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","sharpii","","","L.E. Anderson & B.A.E. Lemmon","tro-35169570","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia squarrosa","Weissia","","squarrosa",NA,NA,"","","tro-35128022",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","squarrosa","","","(Nees & Hornsch.) Müll. Hal.","tro-35128022","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weissia wimmeriana","Weissia","","wimmeriana",NA,NA,"","","tro-35128146",TRUE,"1.1","Accepted","Pottiaceae","Weissia","","wimmeriana","","","(Sendtn.) Bruch & Schimp.","tro-35128146","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Welchiodendron longivalve","Welchiodendron","","longivalve",NA,NA,"","","kew-214383",TRUE,"1.1","Accepted","Myrtaceae","Welchiodendron","","longivalve","","","(F.Muell.) Peter G.Wilson & J.T.Waterh.","kew-214383","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Weldenia candida","Weldenia","","candida",NA,NA,"","","kew-272263",TRUE,"1.1","Accepted","Commelinaceae","Weldenia","","candida","","","Schult.f.","kew-272263","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Welfia regia","Welfia","","regia",NA,NA,"","","kew-214387",TRUE,"1.1","Accepted","Arecaceae","Welfia","","regia","","","H.Wendl.","kew-214387","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Wellstedia dinteri","Wellstedia","","dinteri",NA,NA,"","","tro-4001497",TRUE,"1.1","Accepted","Boraginaceae","Wellstedia","","dinteri","","","Pilg.","tro-4001497","Accepted",FALSE,FALSE,FALSE,2017-05-11
