"Zameioscirpus muticus","Zameioscirpus","","muticus",NA,NA,"","","kew-273168",TRUE,"1.1","Accepted","Cyperaceae","Zameioscirpus","","muticus","","","Dhooge & Goetgh.","kew-273168","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia acuminata","Zamia","","acuminata",NA,NA,"","","kew-2469869",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","acuminata","","","Oerst. ex Dyer","kew-2469869","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia angustifolia","Zamia","","angustifolia",NA,NA,"","","kew-2469848",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","angustifolia","","","Jacq.","kew-2469848","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia boliviana","Zamia","","boliviana",NA,NA,"","","kew-2469847",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","boliviana","","","(Brongn.) A.DC.","kew-2469847","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia chigua","Zamia","","chigua",NA,NA,"","","kew-2469855",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","chigua","","","Seem.","kew-2469855","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia cremnophila","Zamia","","cremnophila",NA,NA,"","","kew-2470031",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","cremnophila","","","Vovides, Schutzman & Dehgan","kew-2470031","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia cunaria","Zamia","","cunaria",NA,NA,"","","kew-2470032",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","cunaria","","","Dressler & D.W.Stev.","kew-2470032","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia dressleri","Zamia","","dressleri",NA,NA,"","","kew-2470044",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","dressleri","","","D.W.Stev.","kew-2470044","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia elegantissima","Zamia","","elegantissima",NA,NA,"","","kew-2470036",TRUE,"1.1","Synonym","Zamiaceae","Zamia","","fairchildiana","","","L.D.Gómez","kew-2470017","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia encephalartoides","Zamia","","encephalartoides",NA,NA,"","","kew-2470015",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","encephalartoides","","","D.W.Stev.","kew-2470015","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia erosa","Zamia","","erosa",NA,NA,"","","kew-2472562",TRUE,"1.1","Synonym","Zamiaceae","Zamia","","floridana","","","A.DC.","kew-2470022","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia fairchildiana","Zamia","","fairchildiana",NA,NA,"","","kew-2470017",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","fairchildiana","","","L.D.Gómez","kew-2470017","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia fischeri","Zamia","","fischeri",NA,NA,"","","kew-2470021",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","fischeri","","","Miq. ex Lem.","kew-2470021","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia furfuracea","Zamia","","furfuracea",NA,NA,"","","kew-2470012",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","furfuracea","","","L.f. ex Aiton","kew-2470012","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia gentryi","Zamia","","gentryi",NA,NA,"","","kew-2470068",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","gentryi","","","Dodson","kew-2470068","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia herrerae","Zamia","","herrerae",NA,NA,"","","kew-2470077",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","herrerae","","","Calderon & Standl.","kew-2470077","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia hymenophyllidia","Zamia","","hymenophyllidia",NA,NA,"","","kew-2470056",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","hymenophyllidia","","","D.W.Stev.","kew-2470056","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia imperialis","Zamia","","imperialis",NA,NA,"","","kew-2609252",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","imperialis","","","A.S.Taylor, J.L.Haynes & Holzman","kew-2609252","Accepted",FALSE,FALSE,FALSE,2017-05-12
